Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,5.8,55.47,1.5,7.9,7.7,13.5,33.2,24.7,10.5,64.47,1.06,3.7,59.73,6.49,0.85,0.65,134.98,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.7,28.25,23.9,26.03,23.92,20.94,5.87,6.07,3.54,0.57,23.33,3.91,0.7,23.44,15.95,5.44,2.44,135.45,50.63,14.64,,18.84,,19.54,6.33,31.91,25.37,2.11,6.03,,0.81,1.61,,25.84,4.92,1.19,,,20.97,31.6,1.92,2.03,21.46,1.64,11.49,63.42,15.6,20.99,,14.11,,2.82,44.26,,,10,33913792728.0,Medical Specialties,Health Technology
AA,12.16,26.67,1.4,10.2,,,,,5.9,9.62,1.2,33.67,18.86,1.04,0.44,0.55,32.91,1.55,79.98,58.53,26.31,10.94,0.65,,,1.2,,30.25,,19.02,6.87,0.69,0.66,,0.27,,,1.2,265.62,,,2.94,39.84,8.14,,,,,,1.52,,,,0.55,,,,,,,,,,17.63,,,1.45,1.52,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,41.33,,10.4,,,,,27,48.65,,,44.22,0.66,0.33,0.21,10.59,0.58,20.92,21.48,13.98,14.34,,,,,13.76,13.76,,11.66,6.78,0.7,0.72,7.27,,,,,5.39,,18.49,4.37,18.69,21.59,1.73,,0.94,,6.83,,17.67,5.77,,0.14,,,,,,,0.3,,,2.7,,,,,0.48,0.76,7.26,6.75,,,3.98,,43.66,7.68,,,8,8696254174.0,Airlines,Transportation
AAON,25.64,49.79,,26.3,8.1,29.5,31.8,,29.5,38.5,0.58,20.64,45.76,28.18,0.07,0.49,85.41,3.13,101.08,13.09,45.31,0.06,0.02,,0.15,0.38,30.25,24.86,54.89,,,,5.99,3.31,0.82,10.92,1.81,0.38,,20.6,18.68,10.86,77.78,35.56,58.55,,15.44,,19.77,8.93,39.78,39.78,1.58,6.11,,2.19,4.87,,56.22,4.43,1.23,,31.29,29.02,42.77,1.71,6.07,11.09,1.57,19.39,38.08,29.18,25.9,,21.96,,0.77,82.13,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,43.94,3.6,,26,,,,8.9,46.87,36.13,,45.13,1.28,0.09,0.11,60.17,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.69,69.8,17.2,14.94,18.98,10.33,0.62,0.62,1.43,0.21,4.18,13.14,1.69,16.48,6.94,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.4,87.2,87.2,,0.31,,,,,7.64,3.74,0.28,,,5.29,11.81,,0.52,3.62,0.29,0.13,1.96,1.42,0.62,,1.21,,,7.89,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,7.98,47.34,2.9,1.3,5.7,20.9,23.2,14.6,15.7,22.56,0.61,7.67,38.06,9.98,0.54,0.64,217.45,1.04,11.92,90.05,21.43,0.8,1.41,,0.15,0.44,28.24,25.79,33.25,26.17,24.31,8.11,8.88,3.54,0.22,26.71,3.06,0.46,29.34,20.26,10.08,5.36,179.72,45.59,59.12,,26.31,,30.98,44.94,33.82,33.82,2,8.89,,1.4,1.58,,33.31,8.22,2.2,,,30.73,35.95,1.9,2.53,44.93,0.99,29.34,262.55,56.47,150.79,,34.83,,3.07,49.21,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,65.73,,,9.7,8.1,22.2,18.4,8.5,62.51,6.66,,65.67,0.69,0.98,0.06,24.61,2.06,,143.65,6.4,6.71,1.43,,1.49,5.42,22.84,12.12,25.31,,,,6.96,4.38,0.4,27.51,8.15,5.46,,7.55,,2.41,29.14,62.64,1.88,,15.46,,27.6,1.25,27.65,27.65,12.02,4.23,,2.4,1.33,10.82,15.3,1.25,0.54,,,9.79,19.05,,1.1,1.27,2.06,2.29,612.23,4.67,5.68,,4.28,,3.5,30.76,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,20.56,69.2,,,7.8,9.6,49.1,7.4,3.8,83.57,5.44,3.4,74.73,1.87,0.44,0.24,182.17,0.94,71.9,58.89,77.13,4,9.24,,0.55,3.33,37.23,19.84,16.77,14.94,14.11,6.66,6.75,2.69,0.05,40.24,6.81,3.37,15.91,24.08,7.07,5.11,142.18,62.28,5.83,,11.02,,24.96,40.13,54.06,16.62,1.07,5.78,,0.74,0.48,,14.33,,1.35,,,13.82,21.03,0.94,1.59,,0.83,4.34,199,9.56,52.94,,9.67,,4.96,39.69,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,49.55,,8.7,,,,,,53.08,,,51.95,2.05,6.66,9.48,3.1,7.76,,,342.96,,0.07,,,,,,,,,8.29,7.16,,0.77,,,,,,,31.92,1.22,,,,,,,0.81,,,,25.01,,,,,,,,2.5,1.89,,,,,0.95,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,44.86,,2.2,20.8,5.4,3.2,9.8,11,38.2,11.37,,44.36,3.51,0.4,3.65,2.1,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,7.16,8.48,6.26,8.7,8.54,6.49,2.05,1.96,11.79,0.65,25.4,12.43,7.16,12.58,14.52,5.16,6.39,2.95,50.66,6.83,,18.25,,23.83,2.14,11.23,10.77,2.2,2.38,,,,,9.28,1.67,0.42,,,7.22,10.4,1.79,0.7,5.12,0.7,10.77,64.69,18.64,17.03,,17.22,,6.26,11.67,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
