Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,32.59,43.24,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,37.15,1.04,,42.04,6.01,,0.74,0.61,133.86,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.69,24.86,21.55,28.53,24.26,21.21,5.92,6.22,4.02,0.54,21.81,3.68,0.69,23.7,15.74,4.77,2.33,134.1,54.39,17.3,,,21.75,,22.9,6.52,27.77,25.69,2.14,6.03,,0.82,1.73,,27.64,5.33,1.19,,,21.95,27.63,1.99,2.06,24.88,1.37,13.03,74.15,18.1,23.78,,16.15,,3.28,43.18,,,10,33913792728.0,Medical Specialties,Health Technology
AA,66.48,60.01,1.4,10.2,,,,,75.95,5.9,53.31,0.93,10.51,58.42,1.48,,0.38,0.45,43.51,1.41,78.33,59.38,26.65,4.45,0.56,,,0.93,1014.55,20.01,,7.19,5.23,1.14,1.2,0.1,0.36,,,0.93,13.64,,,4.06,33.81,11.35,1.6,,,,,2.02,2.14,,,,0.77,,,,,,,,,,21.1,,,1.7,2.22,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,65.96,,10.4,,,,,597.78,27,68.17,,,66.23,0.67,,0.33,0.22,14.16,0.57,21.4,22.29,13.62,16.51,,,,,16.76,16.76,,6.19,4.55,0.7,0.74,5.97,,,,,7,,,4,16.16,20.34,1.4,,,0.51,,5.17,,42.91,13.03,,0.18,,,,,,,0.45,,,4.12,,,,,0.47,0.43,6.13,5.96,,,2.95,,30.47,12.31,,,8,8696254174.0,Airlines,Transportation
AAP,,57.8,3.6,,26,,,,,8.9,75.03,53.02,,65.58,1.71,,0.09,0.12,40.54,1.23,263.29,213.8,27.04,11.12,1.52,,100,2.48,126.05,16.12,16.31,21.51,9.71,0.51,0.51,0.79,0.21,3.13,14.56,2.48,14.82,7.61,83.72,,147.03,39.48,0.41,,,,,0.3,0.93,4054,4054,,0.2,,,,,6.85,20.47,0.19,,,4.44,14.65,,0.35,2.33,0.3,,0.91,0.64,,,0.32,,,5.41,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,22.08,44.05,2.7,,4.9,6.2,6.4,8.6,,5.4,39.5,0.58,24.31,41.25,8.72,,0.37,0.61,224.23,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.44,28.18,25.78,31.91,26.26,24.21,8.31,8.88,3.55,0.16,27.83,3.21,0.44,30.35,18.28,11.61,6.86,187.4,46.21,,,,23.97,,31.51,59.48,36.88,33.22,2.09,8.84,,1.4,1.55,,31.81,9.37,1.95,,,29.27,34.09,2.12,2.48,59.48,0.83,26.93,278.63,59.87,140.28,,32.51,,3.36,48.64,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,44.67,59.29,,,9.7,8.1,22.2,18.4,28.45,8.5,67.51,5.83,21.28,61.52,0.79,,4.87,0.25,28.02,5.78,,148.94,6.31,7.97,1.8,,1.38,4.75,23.11,12.34,24.35,,,,7.22,4.33,0.35,29.66,7.94,4.77,38.92,8.93,,2.94,26.71,63.33,1.92,,,16.36,,28.14,1.44,28.89,28.89,12.56,4.69,,2.5,1.37,11.69,15.83,1.37,0.61,,,10.4,19.26,,1.23,1.46,5.78,2.43,683.81,4.81,6.24,,4.5,,,34.17,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,40.12,27.9,,,7.8,9.6,1.7,7.4,21.19,3.8,10.99,5.81,20.8,21.4,1.98,,0.17,0.1,174.43,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.56,42.2,22.84,26.65,15.19,14.65,7.05,7.5,2.37,0.04,28.13,5.07,3.78,14.38,15.8,7.57,5.47,149.8,67.21,5.43,,,9.22,,26.13,51.15,60.57,16.23,1.05,5.54,,0.59,0.65,,19.81,,1.27,,,18.75,34.94,1.61,1.57,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.51,37.35,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,49.34,,8.7,,,,,,,41.01,,,46.93,1.79,,8.08,9.01,3.14,9.34,,,376.42,,0.07,,,,,,,,,8.29,6.85,,0.77,,,,,,,26.46,1.04,,,,,,,,0.86,,,,27.87,,,,,,,,2.83,2.17,,,,,0.95,9.34,,,,,,,,1.12,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,42.03,,2.2,20.8,5.4,3.2,9.8,60.73,11,45.23,10.9,,42.26,3.6,,0.59,6.19,2.2,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.86,8.28,6.22,8.55,8.08,6.2,1.97,2,12.08,0.67,25.25,11.58,6.86,11.7,16.13,4.12,6.42,2.76,50.98,7.91,,,16.92,,23.87,2,12.79,12.5,2.55,2.41,,,,,9.59,1.64,0.45,,,7.56,10.24,1.68,0.7,4.4,0.9,10.03,70.19,19.21,15.52,,15.33,,6.31,12.22,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,10.67,74.27,,50.3,,28.2,37.8,,8.08,24,91.4,,,82.05,2.79,,0.03,0.01,265.75,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.9,12.63,38.92,11.85,10.8,0.57,0.61,7.19,0.33,1.58,5,,9.6,30.21,,6.4,261.33,17.41,3.89,,,2.16,,5.9,1.55,15.04,9.87,0.31,0.32,,0.32,1.74,,20.11,,1.13,,,10.65,90.04,0.39,0.54,,0.41,3.64,17.42,9.79,10.8,,7.97,,,14.1,,,10,4632090814.999999,Specialty Stores,Retail Trade
