Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,9.8,55.01,1.48,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,55.85,0.97,5.13,57.69,5.33,0.7,0.39,137.87,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.67,26,22.44,30.62,24.19,21.53,6.12,6.46,3.85,0.5,21.09,3.49,0.71,24.77,15.17,8.66,5.96,134.86,54.3,15.5,,19.8,,22.86,6.67,31.19,26.06,2.29,6.14,,0.83,1.45,,29.2,1.02,7.22,1.22,,,22.88,29.71,2.11,2.06,44.91,1.58,11.63,68.51,17.6,21.45,,14.54,,3.43,42.68,,,10,33913792728.0,Medical Specialties,Health Technology
AA,69.49,59.25,41.33,1.4,10.2,,,,,75.95,5.9,56.44,0.88,0.45,58.32,1.5,0.38,0.45,46.17,1.41,78.33,59.38,26.65,4.45,0.56,,,0.88,1036.21,20.44,,7.34,5.35,1.17,1.22,0.1,0.36,,,0.88,13.75,,,4.18,32.97,11.35,1.6,,,,2.02,2.27,,,,0.8,,,,,,1.4,,,,,22.28,,,1.81,2.35,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAON,78.24,60.66,29.18,,26.3,8.1,29.5,31.8,,20.3,29.5,54.89,0.36,53.83,57.96,31.66,,,135.76,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,45.59,36.77,107.98,,,,9.2,2.19,0.77,8.52,0.93,0.24,46.1,20.38,17.97,15.07,79.94,35.65,94.37,,15.78,,20.14,13.84,59.81,59.81,2.38,9.37,,3.25,9.55,,110.19,1.7,6.78,1.83,,56.8,46.61,71.05,2.39,9.2,17.29,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,119.09,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,59.06,,3.6,,26,,,,,8.9,61.75,49.6,,60.93,1.9,0.08,0.12,43.61,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.32,28.89,11.4,27.32,30.21,13.65,0.7,0.48,3.46,0.21,1.77,8.39,2.32,25.02,3.94,,,104.07,40.02,2.38,,0.36,,1.55,1,59.74,55.91,,0.21,,,,,11.96,0.42,2.02,0.19,,,6.25,84.86,,0.41,1.64,0.62,0.36,4.12,2.95,1.7,,1.76,,4.32,6.01,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,15.53,73.23,0.48,2.7,,4.9,6.2,6.4,8.6,,5.4,93.72,0.54,14.08,82.53,9.19,0.37,0.61,243.04,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.41,30.15,27.59,34.14,28.07,25.86,8.91,9.5,3.32,0.16,27.83,2.96,0.41,32.87,18.11,11.49,6.89,188.13,46.21,,,23.97,,31.51,64.47,39.97,36.01,2.26,9.61,,1.52,1.68,,34.46,1.29,10.16,2.11,,,31.72,36.89,2.29,2.68,64.47,0.83,26.93,278.63,59.87,140.28,,32.51,,3.13,52.72,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,27.72,49.79,5.28,,,9.7,8.1,22.2,18.4,28.45,8.5,34.83,5.9,25.15,45.41,0.8,4.87,0.25,27.83,5.78,,148.94,6.31,7.97,1.8,,1.38,4.8,23.34,12.46,24.59,,,,7.29,4.28,0.35,29.66,8,4.82,56.22,8.86,,2.18,27.61,63.33,1.92,,16.36,,28.14,1.43,28.69,28.69,12.47,4.72,,2.49,1.36,11.84,15.97,1.01,1.36,0.61,,,10.52,19.42,,1.23,1.45,5.78,2.43,683.81,4.81,6.24,,4.5,,,33.94,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,39.5,41.89,4.57,,,7.8,9.6,1.7,7.4,21.19,3.8,35.83,5.75,21.91,41.59,1.8,0.17,0.1,176.17,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.52,38.07,20.61,24.04,13.71,13.22,6.36,6.76,2.63,0.04,28.13,5.02,3.72,14.47,16.54,7.63,5.52,150.08,67.21,5.43,,9.22,,26.13,51.66,61.17,16.39,1.06,5.63,,0.6,0.66,,20.02,1.17,,1.28,,,18.95,35.34,1.62,1.58,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.67,37.72,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,51.04,11.93,,8.7,,,,,,,42.11,,,49.14,1.9,8.08,9.01,2.85,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.64,,0.77,,,,,,,22.79,1.02,,,,,,,0.79,,,,25.66,,,,,,2.79,,,2.57,1.97,,,,,0.86,9.34,,,,,,,,1.04,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,61.39,,,2.2,20.8,5.4,3.2,9.8,60.73,11,72.66,10.22,0.91,66.56,3.92,0.59,6.19,2.34,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.43,8.91,6.69,9.77,9.24,7.09,2.25,2.15,11.22,0.67,25.25,10.88,6.43,12.65,15.23,3.83,6.46,2.76,50.98,7.91,,16.92,,23.87,2.32,13.6,13.3,2.71,2.74,,,,,11.08,0.85,1.9,0.52,,,8.76,11.8,1.93,0.81,5.09,0.9,10.03,70.19,19.21,15.52,,15.33,,5.62,13.76,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,11.43,54.84,4.88,,50.3,,28.2,37.8,,8.08,24,39.88,,2.24,50.69,2.8,0.03,0.01,259.16,1.2,48.06,16.14,4.32,6.36,1.52,,,,14.03,12.75,39.29,11.96,10.9,0.58,0.62,7.13,0.33,1.58,5.13,,9.49,30.02,,6.16,263.47,17.41,3.89,,2.16,,5.9,1.51,14.67,9.63,0.3,0.33,,0.31,1.7,,19.65,0.98,,1.1,,,10.38,87.77,0.39,0.53,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.75,,,10,4632090814.999999,Specialty Stores,Retail Trade
