Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
AA,33.91,34.3,12.62,1.4,10.2,,,,,75.95,5.9,31.42,1.13,1.99,32.02,1.34,0.38,0.45,36.0,1.41,78.33,59.38,26.65,4.45,0.56,,,1.13,844.83,16.67,,4.65,3.61,0.89,1,0.12,0.36,,,1.13,8.66,,,6.69,31.41,11.35,1.6,,,,2.02,1.77,,,,0.63,,,,,,1.15,,,,,17.96,,,1.41,1.83,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,19.34,64.39,45.97,,10.4,,,,,597.78,27,63.45,,59.19,63.38,0.7,0.33,0.22,17.6,0.57,21.4,22.29,13.62,16.51,,,,,17.84,17.84,,8.6,5.85,0.75,0.79,5.61,,,,,7.57,,14,3.99,16.51,20.34,1.4,,0.51,,5.17,,53.33,16.19,,0.23,,,,,,1.07,,0.56,,,5.13,,,,,0.47,0.43,6.13,5.96,,,2.95,,23.79,15.3,,,8,8696254174.0,Airlines,Transportation
AAON,86.23,41.33,25.74,,26.3,8.1,29.5,31.8,,20.3,29.5,42.38,0.41,59.61,39.33,28.42,,,120.19,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.27,40.41,32.59,95.7,,,,8.15,2.47,0.77,8.52,1.05,0.27,40.81,20.43,17.97,15.07,80.75,35.65,94.37,,15.78,,20.14,12.25,52.95,52.95,2.11,8.31,,2.88,8.45,,97.58,1.49,6,1.62,,50.29,41.29,62.93,2.12,8.15,15.31,1.79,19.56,38.79,29.01,25.52,,21.87,,0.53,105.43,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,53.58,15.75,3.6,,26,,,,,8.9,45.03,47.03,,51.25,1.91,0.08,0.12,45.53,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.2,29.46,11.63,27.87,30.8,13.92,0.72,0.49,3.39,0.21,1.77,8.04,2.2,26.59,3.39,,,93.82,40.02,2.38,,0.36,,1.55,1.05,62.37,58.37,,0.21,,,,,12.48,0.49,2.11,0.2,,,6.53,88.6,,0.43,1.71,0.62,0.36,4.12,2.95,1.7,,1.76,,4.09,6.27,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,30.87,44.91,7.56,2.7,,4.9,6.2,6.4,8.6,,5.4,28.28,0.54,6.59,37.63,9.17,0.37,0.61,242.7,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.41,30.05,27.5,34.03,28.01,25.78,8.88,9.47,3.33,0.16,27.83,2.97,0.41,32.79,18.12,11.49,6.95,189.34,46.21,,,23.97,,31.51,64.38,39.92,35.96,2.26,9.59,,1.51,1.68,,34.45,1.28,10.15,2.11,,,31.69,36.91,2.29,2.68,64.38,0.83,26.93,278.63,59.87,140.28,,32.51,,3.13,52.65,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,19.41,27.36,5.72,,,9.7,8.1,22.2,18.4,28.45,8.5,15.56,6.77,26.21,22.43,0.74,4.87,0.25,24.35,5.78,,148.94,6.31,7.97,1.8,,1.38,5.51,21.49,11.47,22.64,,,,6.71,4.65,0.35,29.66,9.14,5.51,49.19,9.43,,2.77,26.5,63.33,1.92,,16.36,,28.14,1.26,25.1,25.1,10.91,4.12,,2.18,1.19,10.35,13.94,0.92,1.19,0.53,,,9.2,16.95,,1.07,1.27,5.78,2.43,683.81,4.81,6.24,,4.5,,,29.7,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,9.14,50.65,,,,7.8,9.6,1.7,7.4,21.19,3.8,47.88,5.7,5.81,51.82,1.82,0.17,0.1,178.5,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.49,38.62,20.91,24.39,13.91,13.41,6.45,6.86,2.59,0.04,28.13,4.95,3.7,14.63,16.43,7.74,5.5,150.83,67.21,5.43,,9.22,,26.13,52.35,61.98,16.6,1.06,5.76,,0.6,0.67,,20.46,1.18,,1.3,,,19.37,36.08,1.65,1.6,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.7,38.22,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,52.6,16.73,,8.7,,,,,,,45.6,,9.09,51.17,2.11,8.08,9.01,3.03,9.34,,,376.42,,0.07,,,,,,,,,8.29,12.05,,0.77,,,,,,,22.79,1.0,,,,,,,0.83,,,,28.72,,,,,,3.03,,,2.73,2.09,,,,,0.92,9.34,,,,,,,,0.92,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,34.19,,,2.2,20.8,5.4,3.2,9.8,60.73,11,42.98,9.61,11.17,34.85,3.45,0.59,6.19,1.84,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.05,6.8,5.11,7.98,7.52,5.77,1.83,1.64,14.71,0.67,25.25,13.84,6.05,10.22,16.67,3.83,6.6,2.72,50.98,7.91,,16.92,,23.87,1.84,10.7,10.45,2.13,2.2,,,,,8.81,0.68,1.51,0.42,,,6.96,9.41,1.53,0.64,4,0.9,10.03,70.19,19.21,15.52,,15.33,,6.3,10.82,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,24.06,43.12,13.45,,50.3,,28.2,37.8,,8.08,24,51.94,,13.95,43.26,2.76,0.03,0.01,241.99,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.38,12.17,37.49,11.41,10.4,0.55,0.59,7.47,0.33,1.58,5.49,,8.86,31.02,,6.25,266.89,17.41,3.89,,2.16,,5.9,1.41,13.69,8.99,0.28,0.3,,0.29,1.59,,18.34,0.91,,1.03,,,9.68,81.99,0.36,0.5,,0.41,3.64,17.42,9.79,10.8,,7.97,,,12.84,,,10,4632090814.999999,Specialty Stores,Retail Trade
