Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,0.06,49.42,1.5,7.9,7.7,13.5,33.2,24.7,10.5,36.82,1.06,,46.79,6.67,,0.85,0.65,134.7,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.7,29.25,24.75,26.95,24.77,21.69,6.08,6.29,3.42,0.57,23.33,3.91,0.71,27.03,15.85,5.44,2.44,135.33,50.63,14.64,,,18.84,,19.54,6.32,31.84,25.32,2.11,5.99,,0.74,1.48,,25.83,4.91,1.19,,,20.95,31.56,1.92,2.03,21.41,1.64,11.49,63.42,15.6,20.99,,14.11,,2.72,44.16,,,10,33913792728.0,Medical Specialties,Health Technology
AAL,,27.99,,10.4,,,,,27,17,,,24.39,0.65,,0.34,0.21,9.29,0.6,20.92,21.96,14.01,19.76,,,,,18.7,18.7,,18.89,8.59,0.7,0.7,5.35,,,,,13.37,,,4.05,16.84,20.23,1.4,,,,,5.34,,,9.6,,0.11,,,,,,,0.28,,,3.02,,,,,0.5,,5.17,4.89,,,12.18,,49.41,6.93,,,8,8696254174.0,Airlines,Transportation
AAON,33.22,48.55,,26.3,8.1,29.5,31.8,,29.5,37.41,0.58,21.17,44.57,18.92,,,,85.42,2.99,98.09,12.85,43.47,0.35,0.14,,0.15,0.38,31,25.49,69.74,,,,6.14,3.23,0.73,8.59,1.81,0.38,38.16,20.57,18.4,10.79,78.23,36.27,88.05,,,15.61,,20.32,9.49,39.81,39.81,1.59,5.97,,2.01,4.5,,56.22,4.54,1.18,,45.93,31.54,49.24,1.54,6.28,12.05,1.7,19.5,39.13,29.71,25.86,,21.83,,0.63,78.41,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,40.44,3.6,,26,,,,8.9,28.11,35.49,,37.39,1.29,,0.09,0.11,58.86,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.66,71.04,17.5,15.21,19.32,10.51,0.63,0.64,1.41,0.21,4.18,13.43,1.66,16.18,6.57,102.47,1.3,163.68,39.77,1.15,,,0.14,,0.85,1.37,85.3,85.3,,0.3,,,,,7.44,3.66,0.27,,,5.2,11.63,,0.51,3.54,0.29,0.13,1.96,1.42,0.62,,1.21,,,7.71,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,24.37,37.93,2.9,1.3,5.7,20.9,23.2,14.6,15.7,20.53,0.66,20.6,29.5,9.9,,0.47,0.61,209.2,0.95,11.42,91.36,22.13,0.76,1.52,,0.15,0.48,28.18,25.74,32.41,26.1,24.25,8.09,8.86,3.55,0.2,27.06,3.2,0.49,28.19,19.67,10.04,5.41,182.27,45.96,120.35,,,26.44,,31.27,47.78,32.55,32.55,1.93,8.41,,1.22,1.39,,32.05,8.22,1.95,,,28.69,33.56,1.86,2.36,47.76,0.91,29.81,264.82,57.89,151.08,,35.41,,3.34,46.09,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,53,,,9.7,8.1,22.2,18.4,8.5,36.54,6.67,0.55,47.85,0.72,,1.45,0.07,24.51,2.68,,145.05,6.23,6.61,1.42,,1.49,5.43,23.45,12.36,25.91,,,,7.11,4.26,0.4,31.33,8.18,5.46,39.53,7.31,,2.7,29.11,62.62,1.87,,,15.39,,27.37,1.25,27.54,27.54,11.97,4.2,,2.21,1.23,10.57,15.31,1.24,0.54,,,9.82,19.03,,1.1,1.25,2.68,2.29,610.56,4.65,5.7,,4.29,,3.34,30.64,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,13.21,60.62,,,7.8,9.6,49.1,7.4,3.8,51.68,5.49,,59.06,1.96,,0.44,0.24,184.36,0.94,72.03,65.71,76.29,4.7,9.24,,0.57,3.36,41.73,24.8,17.82,15.77,15,7.03,7.09,2.4,0.05,39.8,6.72,3.4,36.07,23.64,7.37,5.1,142.93,62.76,6,,,9.71,,24.95,40.61,61.45,17.23,1.11,5.93,,0.7,0.45,,14.95,,1.37,,,14.42,21.95,0.95,1.6,,0.83,3.87,188.7,9.07,47.16,,9.28,,4.59,40.17,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,37.81,,8.7,,,,,,20.52,,,32.89,2,,6.66,9.48,2.77,7.76,,,342.96,,0.07,,,,,,,,,8.29,6.54,,0.77,,,,,,,31.92,1.23,,,,,,,,0.72,,,,22.25,,,,,,,,2.23,1.69,,,,,0.84,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,46.22,,2.2,20.8,5.4,3.2,9.8,11,52.57,11.41,,47.76,3.5,,0.44,4.44,2.09,1.11,98.87,188.94,24.71,0.13,0.04,,0.77,7.18,8.25,6.09,8.59,8.58,6.55,2.06,1.91,12.12,0.66,25.65,12.49,7.18,11.94,15.11,5.39,6.5,2.64,50.83,7.78,,,17.86,,24.2,1.97,11.18,10.72,2.19,2.39,,,,,9.4,1.6,0.43,,,7.34,10.29,1.7,0.7,4.54,0.78,10.57,67.86,19.1,16.5,,16.34,,6.5,11.61,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,1.5,41.07,,50.3,,28.2,37.8,,24,25.12,,6.62,35.25,2.7,,0.01,0.01,230.17,1.06,41.41,16.44,4.01,5.01,1.53,,,,10.32,9.61,100.12,10.89,10.04,0.56,0.64,9.69,0.33,0.62,2.11,,7.95,31.2,,8.9,257.0,18.22,5.43,,,3.68,,6.86,1.39,8.39,7.31,0.23,0.31,,0.21,3.85,,48.09,,1.05,,,14.87,124.88,0.29,0.51,,0.38,6.33,26.89,13.18,17.8,,9.59,,,12.65,,,10,4632090814.999999,Specialty Stores,Retail Trade
