Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,44.3,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,34.27,1.02,,40.2,5.17,0.7,0.39,134.51,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.71,25.03,21.6,29.48,23.04,20.51,5.83,6.22,4,0.5,21.09,3.57,0.74,24.16,15.29,8.62,5.96,135.25,54.3,15.5,,19.8,,22.86,6.5,30.43,25.43,2.23,6.02,,0.81,1.41,,28.51,0.99,7.04,1.19,,,22.36,28.97,2.06,2.01,43.81,1.58,11.63,68.51,17.6,21.45,,14.54,,3.57,41.67,,,10,33913792728.0,Medical Specialties,Health Technology
AA,49.23,34.01,35.21,1.4,10.2,,,,,75.95,5.9,33.1,1.03,17.34,29.68,1.36,0.38,0.45,37.84,1.41,78.33,59.38,26.65,4.45,0.56,,,1.03,876.63,17.29,,4.68,3.63,0.9,1.04,0.11,0.36,,,1.03,9.84,,,6.49,32.05,11.35,1.6,,,,2.02,1.86,,,,0.66,,,,,,1.18,,,,,18.34,,,1.48,1.93,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAON,83.96,41.93,26.91,,26.3,8.1,29.5,31.8,,20.3,29.5,30.67,0.39,64.55,36.08,29.17,,,124.03,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.26,41.6,33.56,98.53,,,,8.39,2.4,0.77,8.52,1.02,0.26,42.11,20.42,17.97,15.07,80.17,35.65,94.37,,15.78,,20.14,12.65,54.64,54.64,2.18,8.57,,2.97,8.72,,100.67,1.55,6.19,1.67,,51.89,42.61,64.9,2.19,8.41,15.8,1.79,19.56,38.79,29.01,25.52,,21.87,,0.52,108.57,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAPL,17.54,72.43,0.35,2.7,,4.9,6.2,6.4,8.6,,5.4,72.86,0.53,9.21,73.59,9.53,0.37,0.61,254.49,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.4,31.56,28.87,35.74,28.88,26.57,9.16,9.94,3.17,0.16,27.83,2.83,0.4,34.41,18,11.41,6.91,188.71,46.21,,,23.97,,31.51,67.56,41.86,37.7,2.37,10.03,,1.59,1.76,,36.08,1.35,10.64,2.21,,,33.19,38.65,2.4,2.81,67.5,0.83,26.93,278.63,59.87,140.28,,32.51,,3,55.25,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,22.27,33.87,2.71,,,9.7,8.1,22.2,18.4,28.45,8.5,29.16,6.31,28.7,29.88,0.76,4.87,0.25,26.0,5.78,,148.94,6.31,7.97,1.8,,1.38,5.14,21.94,11.71,23.12,,,,6.86,4.56,0.35,29.66,8.56,5.14,52.53,9.24,,2.18,26.36,63.33,1.92,,16.36,,28.14,1.33,26.8,26.8,11.65,4.35,,2.32,1.27,10.87,14.67,0.99,1.27,0.57,,,9.68,17.84,,1.15,1.35,5.78,2.43,683.81,4.81,6.24,,4.5,,,31.52,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,10.59,46.82,,,,7.8,9.6,1.7,7.4,21.19,3.8,57.55,5.76,,50.38,1.79,0.17,0.1,175.58,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.53,37.92,20.52,23.95,13.39,12.91,6.21,6.74,2.64,0.04,28.13,5.04,3.75,14.4,16.57,7.67,5.45,150.44,67.21,5.43,,9.22,,26.13,51.43,60.97,16.33,1.05,5.61,,0.59,0.66,,19.93,1.17,,1.27,,,18.86,35.15,1.62,1.58,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.72,37.58,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,49.86,3.09,,8.7,,,,,,,52.91,,,49.57,1.87,8.08,9.01,2.84,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.1,,0.77,,,,,,,22.79,1.01,,,,,,,0.78,,,,25.13,,,,,,2.81,,,2.56,1.96,,,,,0.86,9.34,,,,,,,,1.07,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,39.25,,,2.2,20.8,5.4,3.2,9.8,60.73,11,35.38,11.68,4.33,37.07,3.59,0.59,6.19,2.06,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,7.35,8.87,6.65,8.51,8.41,6.45,2.05,2.13,11.27,0.67,25.25,10.73,5.47,11.44,16.19,3.83,6.6,2.74,50.98,7.91,,16.92,,23.87,1.96,13.82,13.53,2.76,2.35,,,,,9.38,0.75,1.61,0.44,,,7.41,10.02,1.63,0.68,4.29,0.9,10.03,70.19,19.21,15.52,,15.33,,6.11,11.87,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,12.94,40.22,11.35,,50.3,,28.2,37.8,,8.08,24,28.42,,9.75,32.99,2.77,0.03,0.01,245.77,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.5,12.27,37.82,11.47,10.45,0.55,0.6,7.41,0.33,1.58,5.41,,9,30.82,,6.16,265.4,17.41,3.89,,2.16,,5.9,1.43,13.91,9.13,0.28,0.3,,0.29,1.61,,18.62,0.93,,1.05,,,9.83,83.26,0.37,0.5,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.04,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,22.42,29.24,6.72,2.6,6.2,5.8,5.2,24.3,,,12.8,17.96,2.25,8.2,23.19,2.8,0.05,0.04,50.34,1.33,,,56.48,4.47,0.82,,0.26,1.77,20.67,13.9,27.01,11.46,9.25,0.55,0.54,4.84,0.35,2,5.34,2.12,13.53,25.04,,2.27,52.11,,2.5,,0.98,,2.54,1.76,39.64,14.76,1.26,0.38,,0.77,1.66,,19.1,0.97,,0.96,,,14.1,59.64,0.8,0.88,,1.33,1.63,40.75,5.81,4.49,,3.02,,3.82,27.24,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,,49.19,3.1,,38.3,,,,,322.31,8,56.03,,,50.11,4.66,0.99,4.98,134.21,1.62,,33.1,6.78,0.96,0.27,,,,32.63,31.81,18.19,20.4,20.07,5.85,6.91,3.06,0.38,37.96,4.91,,30.29,,,10.79,167.44,83.07,22.92,,16.96,,15.01,9.91,47.09,47.09,,8.03,,,,,21.19,0.8,4.78,,,18.16,21.19,35.52,,,10.92,1.62,7.98,839.68,21.23,22.05,,19.8,,4.12,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ABT,7.94,46.37,1.96,0.7,6.3,12.3,6.8,6.7,,,5.8,57.65,3.6,8.78,48.3,5.22,0.52,0.52,114.23,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.93,27.93,19.42,31.69,21.56,17.01,4.49,4.99,3.58,0.54,15.74,3.27,2.07,22.13,11.36,8.9,6.44,108.89,55.55,11.5,,13.99,,16.24,4.98,34.72,25.27,2.2,4.85,,1.36,1.6,,30.78,1.05,5.03,1.12,,,22.88,40.21,3.13,1.9,22.53,1.14,7.9,65.41,12.45,14.86,,10.65,,3.45,40.82,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,30.67,34.59,13.72,,6.9,,13.2,4.1,,3.27,5.9,14.44,0.2,26.86,24.8,2.79,1.75,0.61,99.35,3.61,70.83,47.61,57.32,3.31,0.51,,0.06,0.2,26.79,14.24,44.05,,,1.79,2.14,3.73,0.56,4.86,2.49,0.2,22.46,18.2,26.64,11.51,77.66,19.84,4.58,,5.17,,7.87,1.99,37.78,30.76,1.52,1.95,,,,,40.13,1.28,2.43,,,,15.34,23.52,1.96,1.34,4.33,2.77,3.4,11.35,5.93,5.41,,5.14,,,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,49.57,,,,,38.8,40.9,46.1,223.57,16.4,38.6,,10.31,45.92,2.81,1.64,11.45,16.87,2.29,235.21,82.57,38.31,0.4,0.09,,,,20.41,18.4,11.3,13.86,17.09,2.21,2.47,4.9,0.59,21.82,7.22,,22.17,,,16.17,34.06,91.61,,,13.83,,12.08,4.86,21.63,21.63,0.97,3.01,,,,,13.77,0.5,2.39,,16.87,7.21,13.77,21.06,,,5.94,2.11,15.57,203.67,21.17,27.32,,51.02,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,30.78,,,12.2,,,16.9,,,10.9,14.27,,,26.33,1.68,0.13,0.04,37.9,1.07,18.46,542.09,44.04,3.16,0.66,,,,11.34,8.75,,8.86,6.99,1.6,1.78,8.82,0.52,,,,10.66,0.95,10.72,8.88,85.21,96.45,5.11,,8.99,,17.48,1.15,12.43,10.81,,1.12,,,,,,0.44,1.55,0.52,,,26.84,,,1.14,5.01,1.06,5.05,19.42,10.06,9.78,,8.25,,,111.68,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,66.16,65.36,,100.9,,,,,,,70.34,,62.18,66.97,,5.79,,,6.03,,,,,,,,,,,,,,64.24,,,,,,,,,23.13,,,,,,,,,8.62,,,,,,,,,,,,,12.65,11.86,,,,,8.63,6.03,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
ACI,,54.57,2.41,,18.8,33.9,6,,,132.17,4.2,58.46,2.44,,55.63,3.53,0.04,0.02,19.52,0.9,31.65,26.16,3.64,3.36,4.7,,0.19,2.44,14.48,5.98,32.09,12.57,6.52,0.31,0.32,6.91,0.11,0.99,6.95,3.08,8.57,16.39,,1.77,21.48,27.85,3.83,,1.25,,2.28,3.74,11.42,7.81,0.58,0.14,,,,,14.45,0.91,,,,,4.23,14.33,1.23,0.82,,0.22,3.79,11.26,9.28,37.17,,6.52,,6.99,28.59,,,7,13551493187.000002,Food Retail,Retail Trade
ACIW,84.34,44.59,8.74,2.6,5.9,,7,21.8,,142.28,6.8,42.01,,49.86,42.01,3.64,0.26,0.17,53.04,1.56,,21.51,50.45,2.07,0.77,,,,17.33,12.94,22.97,,14.07,3.67,3.96,5.77,0.43,17.25,5.02,,28.21,13.29,23.1,7.94,34.08,52.2,4.73,,14.04,,22.14,4.18,25.02,22.86,1.91,3.52,,1.16,1.76,,20.42,1.56,,1.36,,,17.92,22.86,2.21,1.57,,1.56,6.9,262.89,15.7,17.86,,8.99,,3.43,54.11,,,10,2556336665.0,Packaged Software,Technology Services
ACLS,,31.71,,0.9,22.7,,62.7,72,31,57.41,34.8,18.05,,,27.59,6.43,2.3,13.15,69.47,4.45,183.28,30.95,67.21,0.16,0.05,,,,6.52,6.16,9.79,,7.13,1.7,1.6,15.34,0.73,16.36,7.79,,14.11,25.49,,,112.39,44.28,44.08,,20.65,,21.88,2.31,10.28,10.28,0.21,2.12,,,,,12.98,0.62,1.03,0.94,10.42,2.97,11.79,12.74,0.41,0.96,2.31,3.29,17.31,67.54,25.93,24.8,,28.79,,2.73,22.03,,,9,5489377800.999999,Industrial Machinery,Producer Manufacturing
ACLX,72.17,34.55,0.7,,,,2.6,0.1,,,,21.19,,59.77,28.89,8.63,4.19,8.79,75.63,4.29,,,71.34,,0.14,,,,,,999.37,,,38.25,22.98,,0.63,2.3,0.09,,,,,16.03,0.0,,,,,,,8.45,,,,24.95,,,,,514.49,,,,13.98,13.36,157.56,,,,8.45,4.29,,,,,,,,0.33,,,,,1598748014.0,Biotechnology,Health Technology
ACM,19.85,37.36,8.18,2.5,,,13,17,11,,9.8,26.07,0.82,23.12,29.55,2.4,0.25,0.52,107.99,1.13,,56.38,59.69,2.8,1.39,,0.19,0.82,17.64,14.72,22.51,14.28,12.73,2.03,0.99,5.67,0.18,4.4,4.95,0.96,21.2,10.2,11.48,4.13,102.01,6.73,4.98,,2.5,,5.74,6.55,36.48,23.89,2.46,0.91,,,,,20.78,1.06,,1.91,,,17.78,44.44,3.94,1.92,,1.13,3.46,112.49,16.41,18.05,,11.41,,3.4,157.79,,,7,11643339642.999998,Engineering & Construction,Industrial Services
