Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
AA,59.08,59.43,1.4,10.2,,,,,75.95,5.9,63.27,0.93,1.19,59.87,1.47,,0.38,0.45,43.98,1.41,78.33,59.38,26.65,4.45,0.56,,,0.93,999.44,19.72,,7.08,5.16,1.13,1.18,0.1,0.36,,,0.93,13.78,,,4.06,33.34,11.35,1.6,,,,,2.02,2.16,,,,0.75,,,,,,,,,,21.35,,,1.72,2.24,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,6.51,64.66,,10.4,,,,,597.78,27,64.77,,,64.48,0.68,,0.33,0.22,14.29,0.57,21.4,22.29,13.62,16.51,,,,,16.92,16.92,,6.25,4.59,0.71,0.75,5.91,,,,,6.99,,,4,16.09,20.34,1.4,,,0.51,,5.17,,43.3,13.15,,0.18,,,,,,,0.46,,,4.17,,,,,0.47,0.43,6.13,5.96,,,2.95,,29.24,12.43,,,8,8696254174.0,Airlines,Transportation
AAON,74.16,64,,26.3,8.1,29.5,31.8,,20.3,29.5,53.84,0.36,46.02,61.69,31.13,,,,131.34,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,44.74,36.09,105.97,,,,9.03,2.24,0.77,8.52,0.97,0.24,44.6,20.39,19.72,15.07,79.7,35.65,94.37,,,15.78,,20.14,13.39,57.86,57.86,2.31,9.05,,3.14,9.24,,106.62,6.56,1.77,,54.95,45.11,68.74,2.31,8.9,16.73,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,115.21,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,53.39,3.6,,26,,,,,8.9,55.77,54.09,,55.51,1.88,,0.08,0.12,40.09,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.53,27.05,10.68,25.59,23.72,9.48,0.5,0.45,3.7,0.21,1.77,9.13,2.53,17.35,6.07,80.43,,114.19,40.02,2.38,,,0.36,,1.55,0.92,54.92,51.4,,0.18,,,,,10.96,1.86,0.17,,,5.78,78.02,,0.38,1.51,0.62,0.36,4.12,2.95,1.7,,1.76,,4.95,5.52,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,23.89,51.54,2.7,,4.9,6.2,6.4,8.6,,5.4,59.29,0.58,23.77,53.48,8.66,,0.37,0.61,228.02,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.44,27.94,25.56,31.64,26.03,24,8.24,8.8,3.58,0.16,27.83,3.16,0.44,30.84,18.31,11.58,6.93,187.51,46.21,,,,23.97,,31.51,60.48,37.5,33.78,2.12,9.02,,1.42,1.58,,32.32,9.53,1.98,,,29.78,34.59,2.15,2.52,60.48,0.83,26.93,278.63,59.87,140.28,,32.51,,3.38,49.46,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,46.75,46.54,,,9.7,8.1,22.2,18.4,28.45,8.5,33.3,6.07,22.96,42.05,0.77,,4.87,0.25,27.07,5.78,,148.94,6.31,7.97,1.8,,1.38,4.94,22.71,12.12,23.93,,,,7.1,4.4,0.35,29.66,8.22,4.96,37.6,9.08,,2.94,26.45,63.33,1.92,,,16.36,,28.14,1.39,27.91,27.91,12.13,4.52,,2.42,1.32,11.32,15.28,1.32,0.59,,,10.08,18.55,,1.19,1.41,5.78,2.43,683.81,4.81,6.24,,4.5,,,33.01,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,36.56,24.84,,,7.8,9.6,1.7,7.4,21.19,3.8,13.83,6.09,13.48,19.6,1.71,,0.17,0.1,166.28,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.73,36.01,19.5,22.75,12.97,12.51,6.02,6.4,2.78,0.04,28.13,5.32,3.96,13.69,16.99,7.46,5.43,149.97,67.21,5.43,,,9.22,,26.13,48.76,57.74,15.47,1,5.29,,0.56,0.62,,18.89,,1.21,,,17.86,33.28,1.53,1.49,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.82,35.61,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,45.91,,8.7,,,,,,,34.98,,,42.46,1.76,,8.08,9.01,2.65,9.34,,,376.42,,0.07,,,,,,,,,8.29,6.4,,0.77,,,,,,,,1.02,,,,,,,,0.73,,,,23.43,,,,,,,,2.39,1.83,,,,,0.8,9.34,,,,,,,,1.14,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,39.8,,2.2,20.8,5.4,3.2,9.8,60.73,11,32.91,10.98,,37.91,3.67,,0.59,6.19,2.18,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.91,8.35,6.27,8.79,8.31,6.37,2.02,2.01,11.98,0.67,25.25,11.68,6.91,11.6,15.94,3.93,6.4,2.76,50.98,7.91,,,16.92,,23.87,2,12.67,12.39,2.53,2.41,,,,,9.55,1.64,0.45,,,7.56,10.22,1.66,0.7,4.36,0.9,10.03,70.19,19.21,15.52,,15.33,,6.16,12.11,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,11.91,59.79,,50.3,,28.2,37.8,,8.08,24,49.19,,,58.37,2.79,,0.03,0.01,255.9,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.84,12.58,38.75,11.8,10.75,0.57,0.61,7.23,0.33,1.58,5.19,,9.37,30.3,,6.16,261.96,17.41,3.89,,,2.16,,5.9,1.49,14.48,9.51,0.3,0.32,,0.3,1.68,,19.4,,1.09,,,10.22,86.69,0.38,0.52,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.58,,,10,4632090814.999999,Specialty Stores,Retail Trade
