Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,8.45,30.18,1.5,7.9,7.7,13.5,33.2,24.7,10.5,14.87,1.12,,24.7,6.17,0.85,0.65,126.13,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.74,26.52,22.44,24.44,22.46,19.66,5.52,5.7,3.77,0.57,23.33,4.18,0.75,21.95,16.13,4.95,102.1,135.83,50.63,14.64,,18.84,,19.54,5.92,29.82,23.71,1.98,5.63,,0.76,1.51,,24.15,4.6,1.12,,,19.61,29.54,1.8,1.9,20.05,1.64,11.49,63.42,15.6,20.99,,14.11,,2.99,41.35,,,10,33913792728.0,Medical Specialties,Health Technology
AA,30.47,55.26,1.4,10.2,,,,,5.9,69.04,0.95,32.9,58.91,1.09,0.45,0.53,42.38,1.61,83.25,57.67,25.57,134.11,0.64,,,0.95,,448.5,,22.99,8.3,0.83,0.81,,0.28,,,0.95,333.96,,63.4,3.09,39.6,6.37,,,,,,1.91,,,,0.69,,,,,,,,,,225.58,,,1.91,2,0.93,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,30.82,,10.4,,,,,27,31.71,,,30.88,0.66,0.33,0.21,11.12,0.58,20.92,21.48,13.98,14.34,,,,,13.97,13.97,,11.84,6.89,0.71,0.73,7.16,,,,,5.02,,46,4,18.62,21.59,1.73,,0.94,,6.83,,18.53,6.05,,0.14,,,,,,,0.32,,,2.77,,,,,0.48,0.76,7.26,6.75,,,3.98,,40.18,8.06,,,8,8696254174.0,Airlines,Transportation
AAON,18.74,64.37,,26.3,8.1,29.5,31.8,,29.5,64.51,0.56,1.56,66.86,28.48,0.07,0.49,86.08,3.13,101.08,13.09,45.31,0.06,0.02,,0.15,0.37,30.61,25.16,55.55,,,,6.06,3.27,0.82,10.92,1.8,0.37,,20.59,,,77.54,35.56,58.55,,15.44,,19.77,9,40.09,40.09,1.6,6.15,,2.21,4.91,,56.63,4.46,1.24,,31.53,29.22,43.11,1.73,6.11,11.18,1.57,19.39,38.08,29.18,25.9,,21.96,,0.79,82.77,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,0.48,36.34,3.6,,26,,,,8.9,32.91,35.49,14.03,34.86,1.29,0.09,0.11,59.86,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.66,70.78,17.44,15.15,19.24,10.47,0.63,0.63,1.41,0.21,4.18,13.2,1.66,16.43,6.64,116.65,1.3,163.7,39.77,1.15,,0.14,,0.85,1.39,86.75,86.75,,0.32,,,,,7.58,3.72,0.28,,,5.31,11.79,,0.52,3.6,0.29,0.13,1.96,1.42,0.62,,1.21,,,7.85,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,,70.26,2.9,1.3,5.7,20.9,23.2,14.6,15.7,75.64,0.61,3.56,71.47,10.04,0.54,0.64,221.55,1.04,11.92,90.05,21.43,0.8,1.41,,0.15,0.44,28.46,25.99,33.51,26.4,24.49,8.17,8.95,3.51,0.22,26.71,3,0.45,29.92,20.24,10.5,5,178.93,45.59,59.12,,26.31,,30.98,45.77,34.46,34.46,2.04,9.07,,1.42,1.61,,33.96,8.38,2.24,,,31.33,36.61,1.94,2.58,45.77,0.99,29.34,262.55,56.47,150.79,,34.83,,3.07,50.12,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,13.28,58.75,,,9.7,8.1,22.2,18.4,8.5,67.3,7.37,,62.64,0.65,0.98,0.06,22.23,2.06,,143.65,6.4,6.71,1.43,,1.49,6,21.92,11.63,24.29,,,,6.68,4.56,0.4,27.51,9.02,6.04,,7.94,,2.19,29.21,62.64,1.88,,15.46,,27.6,1.13,24.98,24.98,10.86,3.82,,2.16,1.2,9.79,13.9,1.13,0.49,,,8.86,17.25,,1,1.15,2.06,2.29,612.23,4.67,5.68,,4.28,,3.86,27.79,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,19.68,45.99,,,7.8,9.6,49.1,7.4,3.8,29.43,6.06,0.89,40.49,1.79,0.44,0.24,163.84,0.94,71.9,58.89,77.13,4,9.24,,0.55,3.71,35.39,18.86,15.94,13.66,13.2,6.32,6.42,2.83,0.05,40.24,7.57,3.81,15.25,24.48,6.21,3.88,142.03,62.28,5.83,,11.02,,24.96,36.09,48.62,14.95,0.96,5.41,,0.67,0.44,,13.44,,1.21,,,12.97,19.75,0.85,1.43,,0.83,4.34,199,9.56,52.94,,9.67,,5.21,35.69,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,27.68,,8.7,,,,,,31.54,,,27.69,1.92,6.66,9.48,2.71,7.76,,,342.96,,0.07,,,,,,,,,8.29,5.31,,0.77,,,,,,,,1.21,,,,,,,0.7,,,,21.86,,,,,,,,2.19,1.65,,,,,0.83,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,33.98,,2.2,20.8,5.4,3.2,9.8,11,37.86,11.52,,34.4,3.44,0.4,3.65,2.08,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,7.25,8.27,6.1,8.45,8.29,6.3,1.99,1.91,12.09,0.65,25.4,12.55,7.25,12.51,14.74,6.1,6.19,2.99,50.66,6.83,,18.25,,23.83,2.1,11.12,10.67,2.18,2.29,,,,,9.09,1.64,0.42,,,7.03,10.25,1.76,0.69,4.95,0.7,10.77,64.69,18.64,17.03,,17.22,,6.45,10.95,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
