Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,20.82,50.06,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,51.74,1.01,,48.95,6.06,,0.74,0.61,138.35,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.67,25.15,21.8,28.86,24.54,21.45,5.99,6.29,3.98,0.54,21.81,3.56,0.68,24.46,15.65,4.89,,133.8,54.39,17.3,,,21.75,,22.9,6.74,28.7,26.55,2.21,6.24,,0.77,1.64,,28.67,5.51,1.24,,,22.74,28.57,2.06,2.13,25.72,1.37,13.03,74.15,18.1,23.78,,16.15,,3.22,44.63,,,10,33913792728.0,Medical Specialties,Health Technology
AA,11.33,59.83,1.4,10.2,,,,,75.95,5.9,79.2,1.19,5.52,66.93,1.25,,0.44,0.55,33.97,1.55,79.98,58.53,26.31,10.94,0.65,,,1.19,,43.2,,8.23,5.25,0.93,0.94,,0.27,,,1.19,12.23,,,2.67,39.54,8.14,,,,,,,1.56,,,,0.58,,,,,,,,,,18.89,,,1.5,1.64,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,55.48,,10.4,,,,,597.78,27,53.09,,,56.31,0.66,,0.34,0.21,11.17,0.6,20.92,21.96,14.01,19.76,,,,,19.09,19.09,,10.21,6.1,0.68,0.71,5.24,,,,,6,,,4.03,16.54,20.23,1.4,,,,,5.34,,,11.55,,0.14,,,,,,,0.34,,,3.56,,,,,0.5,,5.17,4.89,,,12.18,,44.04,8.34,,,8,8696254174.0,Airlines,Transportation
AAON,45.68,64.74,,26.3,8.1,29.5,31.8,,20.3,29.5,80.89,0.5,7.57,69.8,20.56,,,,96.18,2.99,98.09,12.85,43.47,0.35,0.14,,0.14,0.33,32.45,26.6,76.95,,,,6.61,3.08,0.73,8.59,1.32,0.33,34.52,20.51,18.09,11.33,78.68,36.27,88.05,,,15.61,,20.32,10.51,43.32,43.32,1.73,6.72,,2.18,6.29,,78.53,5.07,1.33,,50.89,35.5,55.42,1.73,7.07,13.36,1.7,19.5,39.13,29.71,25.86,,21.83,,0.57,88.24,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAPL,29.16,39.05,2.9,1.3,5.7,20.9,23.2,14.6,102.85,15.7,20.97,0.62,30.95,31.58,9.78,,0.47,0.61,216.79,0.95,11.42,91.36,22.13,0.75,1.52,,0.15,0.45,26.85,24.63,31.9,24.85,22.8,7.81,8.63,3.72,0.2,27.06,3.17,0.46,28.97,19.97,11.24,6.08,184.27,45.96,120.35,,,26.44,,31.27,49.5,33,33,1.95,8.71,,1.24,1.4,,32.24,8.52,2.02,,,29.76,34.74,1.9,2.45,49.5,0.91,29.81,269.91,59,151.08,,35.41,,3.41,47.75,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
ABBV,27.47,56.3,,,7.8,9.6,49.1,7.4,26.06,3.8,52.97,5.19,9.01,53.44,2.04,,0.31,0.19,193.45,0.81,73.4,65.71,76.62,3.91,10.42,,0.57,3.18,42.13,22.29,22.68,14.52,14.15,6.85,7.33,2.37,0.05,32.33,5.2,3.21,16,20.08,7.21,4.99,146.45,62.76,5.48,,,9.71,,24.95,50.38,64.48,18.08,1.17,6.38,,0.74,0.58,,19.67,,1.42,,,18.78,33.18,1.26,1.73,,0.71,3.83,192.43,9.41,53.28,,9.12,,2.91,41.96,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,51.32,,8.7,,,,,,,60.95,,,56.01,1.97,,9.52,9.3,2.73,10.96,,,406.96,,0.07,,,,,,,,,8.29,5.79,,0.79,,,,,,,32.02,1.06,,,,,,,,0.72,,,,23.4,,,,,,,,2.18,1.71,,,,,0.82,10.96,,,,,,,,0.69,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,54.13,,2.2,20.8,5.4,3.2,9.8,60.73,11,52.25,10.15,,52.38,3.7,,0.44,4.44,2.37,1.11,97.74,188.94,24.71,0.13,0.04,,0.79,6.39,9.21,6.89,9.35,8.73,6.69,2.12,2.21,10.86,0.66,25.65,11,6.39,12.95,14.59,4.92,6.6,2.64,50.83,7.5,,,17.86,,24.06,2.15,13.02,12.47,2.54,2.57,,,,,10.18,1.74,0.47,,,8,11.26,1.84,0.76,4.94,0.79,10.57,68.13,19.18,16.5,,16.25,,6.06,12.47,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,2.32,41.56,,50.3,,28.2,37.8,,8.08,24,42.42,,9.7,40.17,2.66,,0.03,0.02,222.05,1.25,45.36,16.38,4.15,6.36,1.58,,,,12.66,11.57,,10.66,9.76,0.54,0.6,7.9,0.32,,,,7.65,30.88,,6.95,257.12,17.75,4.56,,,2.51,,6.31,1.33,11.39,7.68,0.24,0.28,,0.22,,,,,0.98,,,40.74,,0.31,0.51,,0.45,4.25,19.44,10.28,12.31,,8.62,,,12.14,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,33.44,44.94,2,8.4,5.9,40.8,24.6,,23.18,11.1,52.58,2.11,27.89,45.24,2.93,,0.07,0.06,50.96,1.38,,,56.6,3.53,0.8,,0.26,1.73,15.21,11.21,16.99,11.55,9.32,0.55,0.56,6.57,0.36,3.3,8.53,1.74,13.71,26.47,,1.4,51.3,,3.58,,,1.89,,3.62,1.74,21.06,14.69,0.91,0.4,,0.73,0.96,,12.02,,1,,,9.75,14.7,0.74,0.88,,1.38,3.14,55.18,8.09,8.51,,4.97,,3.51,26.4,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,,44.77,,38.3,,,,,322.31,8,61.17,,,51.18,3.2,,0.71,4.95,122.12,1.41,,29.97,7.3,1.12,0.28,,,,33.16,32.31,15.04,18.74,18.44,5.35,6.22,3.02,0.3,41.38,5.63,,26.5,,,10.63,166.53,82.59,20.75,,,46.11,,15.21,9.68,16.61,16.61,,7.68,,,,,18.38,2.81,,,19.67,18.33,13.79,,,10.72,1.41,21.22,720.92,19.41,63.33,,55.65,,3.84,,,,2,92399740712.0,Other Consumer Services,Consumer Services
ACA,11.92,59.21,,6.9,,13.2,4.1,,3.27,5.9,73.83,0.22,2.52,63.98,3.18,,0.24,0.15,91.94,2.31,71.3,47.91,58.17,1.84,0.29,,0.07,0.22,23.56,13.1,308.8,,,1.74,2.07,4.24,0.63,0.67,0.36,0.22,21.37,20.02,,,71.18,19.03,5.57,,,6.05,,7.68,1.86,30.54,30.62,1.52,1.84,,,,,276.13,2.38,,,,19.94,30.83,1.73,1.3,4.16,1.36,4.09,12.41,6.71,6.29,,4.98,,0.57,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
