Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,70.31,1.5,7.9,7.7,13.5,33.2,24.7,10.5,74.94,0.94,17.32,74.17,6.92,,1.08,0.68,147.84,2.68,117.28,52.11,73.54,1.51,0.41,,0.18,0.62,30.85,25.99,26.67,26.53,23.26,6.41,6.52,3.24,0.57,24.48,3.81,0.64,26.98,16.4,9.5,3.58,142.71,50.56,14.22,,,18.35,,19.42,7,35.2,28.88,2.41,6.46,,0.92,1.65,,26.48,5.59,1.31,,,22.24,32.55,2.08,2.23,24.36,2.04,11.42,62.86,15.64,21.32,,14.14,,2.21,50.29,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,61.67,1.4,10.2,,,,,5.9,80.58,1.33,,68.83,1.02,,0.31,0.49,29.79,1.45,86.07,58.94,24.77,12.36,0.45,,,1.33,,41.58,,16.04,5.96,0.6,0.61,,0.3,,,1.33,69.8,,,,40.32,7,,,,,,,1.25,,,,0.51,,,,,,,,,,60.33,,,1.03,1.31,0.74,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,46.6,,10.4,,,,,27,31.48,,5.81,40.96,0.76,,0.34,0.19,13.96,0.62,20.89,20.46,14.17,12.45,,,,,13.07,13.07,35.36,10.98,6.82,0.77,0.81,7.65,,2.29,13.21,,5.03,,17.44,4.15,19.68,22.37,1.87,,,1.56,,7.6,,12.69,6.12,,0.19,,,,,7.02,,0.4,,,2.45,,,,,0.51,1.25,8.53,7.75,,,4.5,,30.54,9.37,,,8,8696254174.0,Airlines,Transportation
AAON,36.27,48.52,,26.3,8.1,29.5,31.8,,29.5,26.71,0.61,30.6,40.7,22.25,,,0.01,79.98,3.23,98.85,15.62,46.26,0.18,0.07,,0.15,0.4,28.74,23.84,132.79,,,,5.61,3.48,0.78,4.23,0.76,0.4,,20.5,,,80.21,34.15,46.97,,,15.2,,19.47,8.87,37.48,37.48,1.49,5.71,,2.06,11.73,,135.33,4.31,1.16,,32.12,41.94,76.38,1.74,6.55,11.14,1.54,19.75,39.21,30.05,27.34,,22.64,,0.51,79.99,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,73.02,3.6,,26,,,,8.9,84.83,62,14.95,78.51,1.34,,0.09,0.13,78.48,1.2,269.01,213.72,25.63,9.01,1.59,,2.7,2.9,58.15,18.02,183.43,20.91,11.58,0.7,0.71,1.72,0.21,0.39,0.93,1.3,20.89,10.31,14,1.34,196.14,40.37,1.5,,,0.39,,1.17,1.85,106.05,106.05,,0.42,,,,,109.04,4.85,0.36,,,16.43,,,0.7,5,0.29,0.36,2.68,1.95,1.68,,1.62,,,10.22,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,26.03,34.07,2.9,1.3,5.7,20.9,23.2,14.6,15.7,42.29,0.78,6.15,34.42,8.02,,0.55,0.68,173.23,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.57,22.27,20.35,25.29,22.44,20.53,6.96,7.01,4.49,0.21,27.71,3.99,0.57,26.61,21.42,12.46,2.63,178.37,45.03,40.5,,,26.16,,30.76,36.17,26.98,26.98,1.6,7.09,,1.11,1.21,,25.44,6.58,1.77,,,23.37,27.01,1.47,2.02,36.17,1.02,29.33,279.4,57.36,159.97,,34.58,,3.79,40.86,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,13.85,43.02,,,9.7,8.1,22.2,18.4,8.5,46.12,7.62,9.42,43.04,0.62,,0.84,0.05,21.3,1.94,,145.67,6.48,6.84,1.43,,1.57,6.2,22.32,11.67,27.59,,,,6.62,4.48,0.4,23.98,8.15,6.28,,6.41,,,33.04,62.84,1.88,,,14.66,,27.6,1.08,25.36,25.36,11.03,3.69,,2.2,1.33,9.6,15.43,1.11,0.47,,,8.65,17.54,,0.99,1.1,1.94,2.15,576.18,4.53,5.34,,4.22,,3.33,27.66,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,15.6,62.35,,,7.8,9.6,49.1,7.4,3.8,56.23,5.42,15.94,59.57,2.08,,0.34,0.22,180.92,0.87,69.9,59.2,76.32,3.46,5.73,,0.67,3.32,42.89,21.16,16.43,14.46,13.88,6.69,6.69,2.33,0.08,40.62,6.9,3.43,15.89,26.31,32.5,0.85,137.61,62.42,6.09,,,8.95,,24.92,30.82,66.27,20.42,1.32,5.85,,0.91,0.48,,14.35,,1.35,,,13.85,24.56,0.99,1.52,,0.76,3.58,171.32,8.18,36.93,,9.52,,6.82,40.03,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,47.34,,8.7,,,,,,53.53,,6.23,48.54,3.1,,6.39,9.83,4.88,7.33,,,330.79,,0.07,,,,,,,,,8.29,20.18,,0.77,,,,,,,,1.41,,,,,,,,1.23,,,,36.97,,,,,,,,3.34,2.65,,,,,1.44,7.32,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,0.78,45.72,,2.2,20.8,6.6,1,9.8,11,49.08,9.39,,47.06,3.29,,0.4,4.67,2.56,0.89,107.25,196.84,24.3,0.15,0.04,,0.77,5.91,10.59,7.78,10.09,8.85,6.67,2.19,2.37,9.44,0.6,23.91,9.51,5.91,13.71,12.7,,5.85,3.25,50.72,8.66,,,18.19,,23.51,2.56,13.84,13.13,2.92,2.52,,,,,10.87,1.97,0.45,,,8.25,12.54,,0.78,6.56,0.66,10.71,59.44,17.48,17.21,,17.68,,5.59,12.8,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
