Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,6.27,57.45,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,77.19,0.98,4.95,64.24,5.27,0.7,0.39,139.58,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.68,25.61,22.1,30.16,23.83,21.2,6.03,6.36,3.9,0.5,21.09,3.45,0.72,24.66,15.22,8.71,5.68,134.74,54.3,15.5,,19.8,,22.86,6.75,31.58,26.39,2.31,6.28,,0.84,1.46,,29.59,1.04,7.31,1.24,,,23.17,30.04,2.14,2.09,45.47,1.58,11.63,68.51,17.6,21.45,,14.54,,3.47,43.21,,,10,33913792728.0,Medical Specialties,Health Technology
AA,46.25,60.95,26.39,1.4,10.2,,,,,75.95,5.9,58.4,0.87,,60.58,1.51,0.38,0.45,45.7,1.41,78.33,59.38,26.65,4.45,0.56,,,0.87,1047.34,20.66,,7.42,5.4,1.18,1.24,0.1,0.36,,,0.87,14.41,,,4.18,32.97,11.35,1.6,,,,2.02,2.25,,,,0.8,,,,,,1.39,,,,,22.17,,,1.79,2.33,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,3.99,61.13,27.5,,10.4,,,,,597.78,27,53.25,,17.74,58.81,0.68,0.33,0.22,14.61,0.57,21.4,22.29,13.62,16.51,,,,,16.96,16.96,,8.43,5.68,0.71,0.75,5.9,,,,,7.15,,,4.01,16.19,20.34,1.4,,0.51,,5.17,,44.27,13.44,,0.19,,,,,,0.9,,0.47,,,4.28,,,,,0.47,0.43,6.13,5.96,,,2.95,,28.98,12.7,,,8,8696254174.0,Airlines,Transportation
AAON,81.46,63.81,18.8,,26.3,8.1,29.5,31.8,,20.3,29.5,55.08,0.35,51.19,61.37,31.73,,,132.29,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.23,45.7,36.87,108.24,,,,9.22,2.19,0.77,8.52,0.96,0.23,44.93,20.38,17.97,15.07,79.87,35.65,94.37,,15.78,,20.14,13.49,58.28,58.28,2.32,9.14,,3.17,9.3,,107.37,1.66,6.6,1.78,,55.35,45.45,69.2,2.33,8.97,16.85,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,116.04,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,52.93,,3.6,,26,,,,,8.9,43.95,50.67,,51.73,1.89,0.08,0.12,42.6,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.37,28.12,11.1,26.6,29.4,13.29,0.69,0.47,3.56,0.21,1.77,8.59,2.37,25.74,4.75,,,105.82,40.02,2.38,,0.36,,1.55,0.98,58.36,54.62,,0.2,,,,,11.62,0.4,1.97,0.19,,,6.08,82.89,,0.4,1.6,0.62,0.36,4.12,2.95,1.7,,1.76,,4.49,5.87,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,16.56,66.67,,2.7,,4.9,6.2,6.4,8.6,,5.4,88.24,0.55,15.95,75.18,9.03,0.37,0.61,239.59,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.42,29.45,26.95,33.35,27.42,25.26,8.7,9.28,3.4,0.16,27.83,3,0.42,32.33,18.17,11.49,6.89,187.95,46.21,,,23.97,,31.51,63.55,39.41,35.49,2.23,9.43,,1.5,1.66,,33.98,1.27,10.02,2.08,,,31.24,36.37,2.26,2.64,63.55,0.83,26.93,278.63,59.87,140.28,,32.51,,3.21,51.97,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,26.26,60.9,,,,9.7,8.1,22.2,18.4,28.45,8.5,65.82,5.79,22.48,63.55,0.8,4.87,0.25,28.39,5.78,,148.94,6.31,7.97,1.8,,1.38,4.71,23.32,12.45,24.57,,,,7.29,4.29,0.35,29.66,7.84,4.72,57.35,8.86,,2.18,27.61,63.33,1.92,,16.36,,28.14,1.46,29.27,29.27,12.73,4.76,,2.54,1.39,11.89,16,1.03,1.39,0.62,,,10.62,19.46,,1.25,1.48,5.78,2.43,683.81,4.81,6.24,,4.5,,,34.62,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,41.94,51.3,3.69,,,7.8,9.6,1.7,7.4,21.19,3.8,75.84,5.62,26.24,58.2,1.85,0.17,0.1,181.77,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.44,39.23,21.24,24.77,14.13,13.62,6.55,6.97,2.55,0.04,28.13,4.86,3.62,14.92,16.31,7.63,5.52,150.08,67.21,5.43,,9.22,,26.13,53.3,63.11,16.91,1.08,5.8,,0.61,0.68,,20.64,1.21,,1.32,,,19.53,36.39,1.68,1.63,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.67,38.92,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABEV,,35.75,,,2.2,20.8,5.4,3.2,9.8,60.73,11,25.71,10.93,,32.26,3.68,0.59,6.19,2.19,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.88,8.2,6.16,8.85,8.37,6.42,2.04,1.98,12.2,0.67,25.25,11.63,6.88,11.66,15.88,3.83,6.46,2.76,50.98,7.91,,16.92,,23.87,2.11,12.73,12.44,2.54,2.53,,,,,10.08,0.79,1.72,0.48,,,7.94,10.76,1.77,0.73,4.66,0.9,10.03,70.19,19.21,15.52,,15.33,,6.26,12.88,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,4.77,58.23,,,50.3,,28.2,37.8,,8.08,24,50.76,,,56.42,2.79,0.03,0.01,265.02,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.88,12.62,38.88,11.84,10.79,0.57,0.61,7.2,0.33,1.58,5.01,,9.76,30.23,,6.16,262.87,17.41,3.89,,2.16,,5.9,1.54,15,9.85,0.31,0.32,,0.32,1.74,,20.09,1.01,,1.13,,,10.6,89.78,0.39,0.54,,0.41,3.64,17.42,9.79,10.8,,7.97,,,14.06,,,10,4632090814.999999,Specialty Stores,Retail Trade
