Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,8.36,61.12,1.08,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,81.56,0.98,6.73,68.83,5.3,0.7,0.39,140.2,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.68,25.84,22.3,30.43,24.04,21.39,6.08,6.42,3.87,0.5,21.09,3.43,0.71,25.18,15.19,8.66,5.96,134.83,54.3,15.5,,19.8,,22.86,6.78,31.72,26.5,2.32,6.22,,0.85,1.47,,29.75,1.04,7.34,1.24,,,23.31,30.23,2.15,2.1,45.67,1.58,11.63,68.51,17.6,21.45,,14.54,,3.46,43.41,,,10,33913792728.0,Medical Specialties,Health Technology
AA,51.92,58.12,33.63,1.4,10.2,,,,,75.95,5.9,51.16,0.86,,56.3,1.5,0.38,0.45,45.87,1.41,78.33,59.38,26.65,4.45,0.56,,,0.86,1036.81,20.45,,7.35,5.35,1.17,1.22,0.1,0.36,,,0.86,13.66,,,4.18,32.97,11.35,1.6,,,,2.02,2.26,,,,0.8,,,,,,1.39,,,,,22.29,,,1.79,2.34,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,64.62,22.2,,10.4,,,,,597.78,27,68.09,,12.96,65.18,0.68,0.33,0.22,14.88,0.57,21.4,22.29,13.62,16.51,,,,,16.94,16.94,,8.43,5.68,0.71,0.75,5.9,,,,,7.29,,,4.01,16.22,20.34,1.4,,0.51,,5.17,,45.09,13.69,,0.2,,,,,,0.92,,0.48,,,4.32,,,,,0.47,0.43,6.13,5.96,,,2.95,,29.08,12.94,,,8,8696254174.0,Airlines,Transportation
AAON,74.46,61.12,26.47,,26.3,8.1,29.5,31.8,,20.3,29.5,56.33,0.36,56.19,58.69,31.07,,,136.0,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,44.64,36.01,105.74,,,,9.01,2.24,0.77,8.52,0.93,0.24,46.18,20.39,17.97,15.07,79.93,35.65,94.37,,15.78,,20.14,13.86,59.91,59.91,2.39,9.42,,3.25,9.56,,110.38,1.7,6.79,1.83,,56.9,46.73,71.15,2.4,9.22,17.32,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,119.3,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,60.6,,3.6,,26,,,,,8.9,66.74,50.45,,63.4,1.9,0.08,0.12,44.01,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.36,28.49,11.25,26.95,29.79,13.46,0.69,0.48,3.51,0.21,1.77,8.31,2.36,25.25,4.35,,,104.42,40.02,2.38,,0.36,,1.55,1.01,60.29,56.42,,0.21,,,,,12.06,0.42,2.04,0.19,,,6.31,85.69,,0.41,1.66,0.62,0.36,4.12,2.95,1.7,,1.76,,4.34,6.06,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,17.2,73.2,0.53,2.7,,4.9,6.2,6.4,8.6,,5.4,93.69,0.54,14.23,82.49,9.18,0.37,0.61,243.01,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.41,30.1,27.55,34.09,28.03,25.82,8.9,9.49,3.32,0.16,27.83,2.96,0.41,32.87,18.12,11.49,6.89,188.09,46.21,,,23.97,,31.51,64.46,39.97,36,2.26,9.57,,1.52,1.68,,34.46,1.29,10.16,2.11,,,31.67,36.88,2.29,2.68,64.46,0.83,26.93,278.63,59.87,140.28,,32.51,,3.14,52.71,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,27.07,60.16,1.61,,,9.7,8.1,22.2,18.4,28.45,8.5,63.25,5.76,24.34,62.02,0.79,4.87,0.25,28.47,5.78,,148.94,6.31,7.97,1.8,,1.38,4.69,23.23,12.4,24.47,,,,7.26,4.3,0.35,29.66,7.82,4.71,57.52,8.89,,2.18,27.61,63.33,1.92,,16.36,,28.14,1.46,29.35,29.35,12.76,4.76,,2.54,1.39,11.91,16.1,1.03,1.39,0.62,,,10.62,19.56,,1.25,1.48,5.78,2.43,683.81,4.81,6.24,,4.5,,,34.72,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,39.07,42.25,1.76,,,7.8,9.6,1.7,7.4,21.19,3.8,36.94,5.68,23.64,42.19,1.84,0.17,0.1,176.46,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.48,38.97,21.1,24.61,14.03,13.54,6.51,6.92,2.57,0.04,28.13,5.01,3.68,14.49,16.36,7.63,5.52,150.08,67.21,5.43,,9.22,,26.13,51.75,61.27,16.41,1.06,5.79,,0.6,0.66,,20.57,1.18,,1.28,,,19.47,36.27,1.63,1.58,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.66,37.79,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,53.37,14.68,,8.7,,,,,,,49.5,,,52.93,1.91,8.08,9.01,2.9,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.73,,0.77,,,,,,,22.79,1.02,,,,,,,0.79,,,,25.71,,,,,,2.84,,,2.61,2,,,,,0.88,9.34,,,,,,,,1.04,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,54.64,,,2.2,20.8,5.4,3.2,9.8,60.73,11,61.97,10.56,,58.27,3.9,0.59,6.19,2.26,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.65,8.77,6.59,9.71,9.18,7.04,2.24,2.11,11.4,0.67,25.25,11.27,6.65,12.22,15.27,3.83,6.46,2.76,50.98,7.91,,16.92,,23.87,2.17,13.14,12.84,2.62,2.58,,,,,10.41,0.82,1.78,0.49,,,8.2,11.13,1.81,0.76,4.81,0.9,10.03,70.19,19.21,15.52,,15.33,,5.86,13.29,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
