Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,47.08,1.5,7.9,7.7,13.5,33.2,24.7,10.5,36.59,1.04,9.45,44,6.17,0.99,0.58,132.55,2.61,116.07,53.51,73.66,1.6,0.47,,0.18,0.69,27.67,23.27,26.92,23.97,21.02,5.79,5.81,3.61,0.54,21.57,3.83,0.72,23.98,17.21,9.5,3.53,149.32,50.71,14.21,,18.15,,19.76,6.57,31.23,26.19,2.18,5.7,,0.84,1.66,,26.41,5.68,1.17,,,21.97,33.89,1.83,2.07,27.22,1.97,11.55,64.95,15.98,22.07,,14.5,,2.24,45.34,,,10,33913792728.0,Medical Specialties,Health Technology
AA,,37.76,1.4,10.2,,,,,5.9,27.89,1.5,8.43,34.27,0.95,0.31,0.49,26.7,1.45,86.07,58.94,24.77,12.36,0.45,,,1.58,,35.62,,13.74,5.1,0.51,0.52,,0.3,,,1.58,57.59,,,,40.29,7,,,,,,1.06,,,,0.42,,,,,,,,,,49.59,,,0.93,1.17,0.74,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,60.58,,10.4,,,,,27,70.45,,3.77,63.8,0.76,0.34,0.19,15.54,0.62,20.89,20.46,14.17,12.45,,,,,13.19,13.19,35.7,11.08,6.88,0.77,0.82,7.58,,2.29,12.06,,5.5,,34.88,3.56,19.67,22.37,1.87,,1.56,,7.6,,13.89,6.7,,0.2,,,,,7.68,,0.45,,,2.66,,,,,0.51,1.25,8.53,7.75,,,4.5,,29.28,10.26,,,8,8696254174.0,Airlines,Transportation
AAON,28.74,69.25,,23.5,10.5,20.6,22,,22.6,74.91,0.59,15.22,71.25,18.99,,,85.82,3.03,97.77,18.07,48.15,0.36,0.13,,0.2,0.38,33.37,27.68,236.17,,,,6.28,3,0.72,2.66,0.43,0.38,,19.61,,,82.2,32.77,42.97,,15.18,,18.83,10.15,41.65,41.65,3.41,6.33,,2.65,20.88,,239.47,4.91,1.31,,42.7,56.72,125.74,2.18,7.84,12.86,1.5,19.51,38.13,29.02,27.91,,22.62,,0.35,88.8,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,38.6,5.1,,192.4,8,16.8,,10.4,22.86,131.16,3.39,31.7,1.89,0.06,0.08,64.75,1.23,275.59,217.45,25.94,6.26,1.51,,0.77,3.73,21.7,11.38,,19.69,10.34,0.63,0.64,4.61,0.22,,,1.66,16.53,16.73,,2.05,208.07,41.67,3.92,,1.72,,2.98,1.36,19.34,14.33,1.54,0.32,,1.04,,,,1.58,0.29,,,13.39,,2.53,0.54,3.39,0.27,1.6,6.46,4.79,7.26,,3.59,,,7.69,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,30.08,37.44,2.9,1.3,5.7,20.9,23.2,14.6,15.7,29.87,0.73,7.73,33.67,8.3,0.55,0.68,182.63,1.07,11.88,92.38,21.56,0.81,1.46,,0.15,0.53,23.33,21.32,26.5,23.51,21.51,7.29,7.34,4.29,0.21,27.71,3.82,0.53,27.78,21.28,12.46,2.63,178.26,45.03,40.5,,26.16,,30.76,37.82,28.22,28.22,1.67,7.38,,1.17,1.28,,26.62,6.94,1.87,,,24.44,28.24,1.55,2.13,37.82,1.02,29.33,279.4,57.36,159.97,,34.58,,3.62,42.73,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,37.35,,,9.7,8.1,22.2,18.4,8.5,24.57,7.67,13.52,32.42,0.62,0.84,0.05,21.25,1.94,,145.67,6.48,6.84,1.43,,1.57,6.28,22.23,11.62,27.51,,,,6.6,4.5,0.4,23.98,8.26,6.37,,6.44,,,32.95,62.84,1.88,,14.66,,27.6,1.07,25.02,25.02,10.88,3.64,,2.19,1.33,9.44,15.17,1.11,0.47,,,8.5,17.23,,0.98,1.09,1.94,2.15,576.18,4.53,5.34,,4.22,,3.3,27.32,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,6.56,73.85,,,7.8,9.6,49.1,7.4,3.8,77.37,5.49,12.07,74.88,2.08,0.34,0.22,178.99,0.87,69.9,59.2,76.32,3.46,5.73,,0.67,3.35,42.77,21.11,16.43,14.4,13.82,6.66,6.67,2.34,0.08,40.62,6.98,3.47,15.81,26.31,9.5,0.85,137.64,62.42,6.09,,8.95,,24.92,30.48,65.5,20.18,1.3,5.84,,0.9,0.47,,14.37,,1.33,,,13.88,24.62,0.98,1.5,,0.76,3.58,171.32,8.18,36.93,,9.52,,6.81,39.59,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,44.78,,8.7,,,,,,42.18,,,43.39,3.1,6.39,9.83,5.12,7.33,,,330.79,,0.07,,,,,,,,,8.29,20.15,,0.77,,,,,,,,1.38,,,,,,,1.25,,,,37.5,,,,,,,,3.51,2.78,,,,,1.51,7.32,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,4.28,45.53,,10.1,15.8,5.3,6.9,2,15.3,55.6,7.78,,48.9,3.8,0.52,4.74,2.66,1.11,107.16,185.4,23.19,0.17,0.04,,0.73,5.83,12.76,8.98,11.39,8.97,6.82,2.19,2.41,7.84,0.65,20.35,8.12,5.83,13.79,10.83,6.94,5.52,3.42,50.3,19.12,,18.29,,22.51,2.27,13.56,13.02,5.66,2.51,,,,,12.29,1.74,0.45,,,9.15,14.13,,0.84,4.98,0.79,10.98,52.73,15.37,17.44,,18.54,,5.41,12.33,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
