Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,2.84,59.58,1.5,7.9,7.7,13.5,33.2,24.7,10.5,72.83,1.03,,65.29,6.61,0.85,0.65,137.38,2.15,117.53,51.55,70.14,1.53,0.41,,0.17,0.68,28.9,24.45,26.63,24.47,21.43,6.01,6.21,3.46,0.57,23.33,3.84,0.69,23.9,15.89,5.44,2.44,135.41,50.63,14.64,,18.84,,19.54,6.45,32.48,25.82,2.15,6.14,,0.83,1.64,,26.31,5.01,1.22,,,21.35,32.19,1.96,2.07,21.84,1.64,11.49,63.42,15.6,20.99,,14.11,,2.76,45.04,,,10,33913792728.0,Medical Specialties,Health Technology
AA,14.44,29.04,1.4,10.2,,,,,5.9,20.74,1.22,28.7,23.63,1.05,0.44,0.55,33.02,1.55,79.98,58.53,26.31,10.94,0.65,,,1.22,,30.71,,19.3,6.97,0.7,0.67,,0.27,,,1.22,262.77,,,2.82,39.81,8.14,,,,,,1.52,,,,0.55,,,,,,,,,,17.95,,,1.46,1.52,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,38.95,,10.4,,,,,27,40.76,,,40.26,0.65,0.34,0.21,10.43,0.6,20.92,21.96,14.01,19.76,,,,,19.03,19.03,,11.53,6.7,0.69,0.71,5.25,,,,,5.33,,17.2,4.34,16.94,20.23,1.4,,,,5.34,,,10.79,,0.14,,,,,,,0.32,,,3.37,,,,,0.5,,5.17,4.89,,,12.18,,44.83,7.78,,,8,8696254174.0,Airlines,Transportation
AAON,27.02,53.56,,26.3,8.1,29.5,31.8,,29.5,50.15,0.56,22.86,51.71,29.01,0.07,0.49,87.46,3.13,101.08,13.09,45.31,0.06,0.02,,0.15,0.37,31.25,25.69,56.7,,,,6.19,3.2,0.82,10.92,1.77,0.37,,20.58,18.4,10.79,77.77,35.56,58.55,,15.44,,19.77,9.15,40.74,40.74,1.62,6.28,,2.24,4.99,,57.55,4.53,1.26,,32.04,29.67,43.84,1.76,6.21,11.36,1.57,19.39,38.08,29.18,25.9,,21.96,,0.77,84.1,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,46.84,3.6,,26,,,,8.9,56.21,35.27,,49.86,1.29,0.09,0.11,60.99,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.64,70.87,17.46,15.17,19.27,10.49,0.63,0.63,1.41,0.21,4.18,12.96,1.64,16.78,6.62,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.42,88.39,88.39,,0.32,,,,,7.74,3.8,0.28,,,5.39,11.97,,0.53,3.67,0.29,0.13,1.96,1.42,0.62,,1.21,,,7.99,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,7.55,48.48,2.9,1.3,5.7,20.9,23.2,14.6,15.7,28.21,0.61,9.85,40.23,9.96,0.54,0.64,218.24,1.04,11.92,90.05,21.43,0.8,1.41,,0.15,0.44,28.18,25.74,33.18,26.11,24.26,8.1,8.86,3.55,0.22,26.71,3.05,0.46,29.41,20.27,10.11,5.4,179.88,45.59,59.12,,26.31,,30.98,45.09,33.94,33.94,2.01,8.91,,1.4,1.59,,33.4,8.25,2.21,,,30.82,36.07,1.91,2.54,45.09,0.99,29.34,262.55,56.47,150.79,,34.83,,3.09,49.38,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,,64.9,,,9.7,8.1,22.2,18.4,8.5,60.58,6.6,,64.27,0.71,0.98,0.06,24.86,2.06,,143.65,6.4,6.71,1.43,,1.49,5.37,23.27,12.34,25.79,,,,7.09,4.3,0.4,27.51,8.07,5.42,,7.39,,2.41,29.12,62.64,1.88,,15.46,,27.6,1.26,27.93,27.93,12.14,4.26,,2.42,1.35,10.95,15.54,1.26,0.55,,,9.91,19.32,,1.11,1.28,2.06,2.29,612.23,4.67,5.68,,4.28,,3.4,31.08,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABCL,,53.74,,8.7,,,,,,61.78,,,57.52,2.18,6.66,9.48,3.23,7.76,,,342.96,,0.07,,,,,,,,,8.29,9.34,,0.77,,,,,,,31.92,1.23,,,,,,,0.84,,,,26.04,,,,,,,,2.6,1.97,,,,,0.98,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,46.94,,2.2,20.8,5.4,3.2,9.8,11,46.1,11.37,,47.83,3.53,0.4,3.65,2.11,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,7.16,8.41,6.21,8.78,8.61,6.54,2.06,1.95,11.89,0.65,25.4,12.37,7.16,12.77,14.46,5.16,6.39,2.94,50.66,6.83,,18.25,,23.83,2.15,11.28,10.82,2.21,2.36,,,,,9.34,1.67,0.43,,,7.23,10.53,1.8,0.71,5.15,0.7,10.77,64.69,18.64,17.03,,17.22,,6.21,11.72,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,3.58,62.59,,50.3,,28.2,37.8,,24,67.69,,3.73,64.53,2.73,0.01,0.01,255.6,1.06,41.41,16.44,4.01,5.01,1.53,,,,10.71,9.98,103.99,11.31,10.42,0.58,0.66,9.34,0.33,0.64,1.9,,8.75,30.37,,8.9,256.13,18.22,5.43,,3.68,,6.86,1.54,9.31,8.12,0.25,0.34,,0.26,4.63,,53.42,,1.17,,,16.48,138.67,0.32,0.56,,0.38,6.33,26.89,13.18,17.8,,9.59,,,14.04,,,10,4632090814.999999,Specialty Stores,Retail Trade
