Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,,47.4,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,29.45,1,,43.06,5.26,,0.7,0.39,136.46,2.09,123.03,58.99,71.61,1.81,0.58,,0.18,0.69,25.56,22.05,30.1,23.78,21.16,6.02,6.35,3.91,0.5,21.09,3.5,0.72,24.51,15.22,8.66,5.96,135.15,54.3,15.5,,,19.8,,22.86,6.66,31.15,26.02,2.28,6.16,,0.83,1.43,,29.18,1.01,7.14,1.21,,,22.88,29.65,2.09,2.04,44.84,1.58,11.63,68.51,17.6,21.45,,14.54,,3.48,42.62,,,10,33913792728.0,Medical Specialties,Health Technology
AA,41.54,32.09,29.58,1.4,10.2,,,,,75.95,5.9,9.47,1.01,17.7,22.12,1.37,,0.38,0.45,38.44,1.41,78.33,59.38,26.65,4.45,0.56,,,1.04,888.95,17.54,,4.88,3.79,0.94,1.07,0.11,0.36,,,1.04,10.49,,,6.49,32.0,11.35,1.6,,,,,2.02,1.89,,,,0.67,,,,,,1.2,,,,,18.64,,,1.5,1.96,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,64.06,28.83,,10.4,,,,,597.78,27,51.76,,25.79,60.81,0.69,,0.33,0.22,16.72,0.57,21.4,22.29,13.62,16.51,,,,,17.51,17.51,,8.44,5.74,0.73,0.78,5.71,,,,,7.52,,,3.99,16.36,20.34,1.4,,,0.51,,5.17,,50.06,15.2,,0.21,,,,,,1.02,,0.54,,,4.81,,,,,0.47,0.43,6.13,5.96,,,2.95,,25.47,14.37,,,8,8696254174.0,Airlines,Transportation
AAON,87.68,47.39,38.76,,26.3,8.1,29.5,31.8,,20.3,29.5,35.71,0.36,68.06,41.95,31.38,,,,128.67,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.24,45.14,36.41,106.92,,,,9.11,2.22,0.77,8.52,0.94,0.24,43.69,20.38,17.97,15.07,80.11,35.65,94.37,,,15.78,,20.14,13.73,59.32,59.32,2.36,9.3,,3.08,9.05,,109.3,1.61,6.42,1.73,,53.84,46.26,70.47,2.27,8.72,17.15,1.79,19.56,38.79,29.01,25.52,,21.87,,0.48,118.12,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,56.28,,3.6,,26,,,,,8.9,51.1,48.53,,55.26,1.9,,0.08,0.12,44.46,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.27,28.88,11.4,27.32,30.2,13.65,0.7,0.48,3.46,0.21,1.77,8.32,2.27,25.73,3.95,,,99.79,40.02,2.38,,,0.36,,1.55,1.01,60.25,56.38,,0.21,,,,,12.02,0.45,2.06,0.19,,,6.31,85.56,,0.42,1.65,0.62,0.36,4.12,2.95,1.7,,1.76,,4.23,6.06,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,13.88,80.79,3.79,2.7,,4.9,6.2,6.4,8.6,,5.4,92.67,0.51,3.84,87.75,9.43,,0.37,0.61,253.48,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.39,31.13,28.49,35.26,28.99,26.7,9.2,9.81,3.21,0.16,27.83,2.87,0.4,33.95,18.04,11.5,6.9,188.57,46.21,,,,23.97,,31.51,66.59,41.29,37.19,2.34,9.9,,1.58,1.75,,35.59,1.34,10.6,2.2,,,32.74,38.12,2.39,2.8,66.59,0.83,26.93,278.63,59.87,140.28,,32.51,,3.04,54.46,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,17.39,44.71,0.04,,,9.7,8.1,22.2,18.4,28.45,8.5,29.91,5.92,25.35,39.1,0.79,,4.87,0.25,27.5,5.78,,148.94,6.31,7.97,1.8,,1.38,4.83,23.02,12.31,24.25,,,,7.21,4.34,0.35,29.66,8.03,4.83,56,8.97,,2.18,26.35,63.33,1.92,,,16.36,,28.14,1.42,28.58,28.58,12.43,4.64,,2.46,1.34,11.58,15.64,1.04,1.34,0.6,,,10.32,19.03,,1.21,1.44,5.78,2.43,683.81,4.81,6.24,,4.5,,,33.61,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,7.11,44.43,,,,7.8,9.6,1.7,7.4,21.19,3.8,54.08,5.93,,47.04,1.76,,0.17,0.1,175.38,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.61,37.2,20.14,23.5,13.4,12.92,6.22,6.61,2.67,0.04,28.13,5.15,3.82,14.08,16.72,7.67,5.45,150.45,67.21,5.43,,,9.22,,26.13,50.27,59.59,15.97,1.03,5.48,,0.59,0.65,,19.48,1.17,,1.27,,,18.43,34.36,1.62,1.57,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.77,36.73,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,46.74,,,8.7,,,,,,,35.63,,,42.99,1.88,,8.08,9.01,2.79,9.34,,,376.42,,0.07,,,,,,,,,8.29,8.28,,0.77,,,,,,,22.79,1.01,,,,,,,,0.77,,,,24.73,,,,,,2.76,,,2.51,1.92,,,,,0.84,9.34,,,,,,,,1.06,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,41.37,,,2.2,20.8,5.4,3.2,9.8,60.73,11,33.88,11.57,6.25,38.74,3.7,,0.59,6.19,2.12,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,7.26,7.98,5.99,8.94,8.45,6.49,2.06,1.92,12.53,0.67,25.25,10.22,5.43,11.78,15.82,3.83,6.6,2.74,50.98,7.91,,,16.92,,23.87,2.06,14.51,14.2,2.9,2.47,,,,,9.85,0.77,1.72,0.48,,,7.78,10.52,1.75,0.73,4.52,0.9,10.03,70.19,19.21,15.52,,15.33,,5.95,12.46,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
