Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,6.19,41.97,,1.9,5,6.8,3.9,10.3,3.7,5.12,2.8,26.2,1,10.43,36.52,5.21,0.7,0.39,136.43,2.09,123.03,58.99,66.16,1.81,0.58,,0.18,0.69,25.25,21.79,29.73,23.49,20.9,5.94,6.27,3.96,0.5,21.09,3.52,0.72,24.51,15.28,8.61,5.95,136.02,54.3,15.5,,19.8,,22.86,6.6,30.87,25.79,2.26,6.11,,0.83,1.43,,28.84,1,7.14,1.21,,,22.63,29.15,2.09,2.02,44.44,1.58,11.63,71.45,17.6,21.45,,14.54,,3.54,42.24,,,10,33913792728.0,Medical Specialties,Health Technology
AAON,82.14,34.81,24.23,,26.3,8.1,29.5,31.8,,20.3,29.5,16.95,0.41,54.69,26.58,28.33,,,122.32,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.27,40.26,32.48,95.36,,,,8.12,2.48,0.77,8.52,1.04,0.27,41.53,20.43,17.97,15.07,80.64,35.65,94.37,,15.78,,20.14,12.43,53.7,53.7,2.14,8.44,,2.93,8.6,,98.96,1.52,6.11,1.65,,51.18,41.85,63.81,2.16,8.29,15.53,1.79,19.56,38.79,29.01,25.52,,21.87,,0.54,106.92,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,66.83,9.64,3.6,,26,,,,,8.9,85.26,44.9,,73.12,1.91,0.08,0.12,47.78,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.1,29.56,11.67,27.96,30.91,13.97,0.72,0.5,3.38,0.21,1.77,7.66,2.1,27.91,3.3,,,93.85,40.02,2.38,,0.36,,1.55,1.1,65.45,61.26,,0.22,,,,,13.05,0.51,2.21,0.21,,,6.87,93.01,,0.45,1.8,0.62,0.36,4.12,2.95,1.7,,1.76,,4.02,6.58,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,31.7,46.03,7.52,2.7,,4.9,6.2,6.4,8.6,,5.4,22.27,0.54,9.52,37.3,9.2,0.37,0.61,245.0,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.41,30.19,27.63,34.19,28.14,25.9,8.93,9.51,3.31,0.16,27.83,2.94,0.41,33.13,18.11,11.42,6.91,189.29,46.21,,,23.97,,31.51,64.99,40.3,36.3,2.28,9.65,,1.53,1.7,,34.72,1.29,10.24,2.13,,,31.95,37.23,2.31,2.7,64.99,0.83,26.93,278.63,59.87,140.28,,32.51,,3.13,53.15,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,26.77,38.85,8.08,,,9.7,8.1,22.2,18.4,28.45,8.5,39.09,6.44,26.95,37.63,0.76,4.87,0.25,25.54,5.78,,148.94,6.31,7.97,1.8,,1.38,5.24,22.08,11.79,23.26,,,,6.9,4.53,0.35,29.66,8.71,5.24,51.6,9.18,,2.77,26.5,63.33,1.92,,16.36,,28.14,1.31,26.33,26.33,11.45,4.26,,2.28,1.25,10.67,14.43,0.96,1.25,0.56,,,9.53,17.59,,1.13,1.33,5.78,2.43,683.81,4.81,6.24,,4.5,,,31.15,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,13.11,53.59,,,,7.8,9.6,1.7,7.4,21.19,3.8,64.3,5.6,10.78,58.3,1.84,0.17,0.1,180.1,0.65,84.15,73.91,75.86,3.9,11.78,,0.57,3.43,38.93,21.07,24.58,14.02,13.52,6.5,6.92,2.57,0.04,28.13,4.91,3.67,14.77,16.37,7.74,5.5,150.83,67.21,5.43,,9.22,,26.13,52.82,62.53,16.75,1.08,5.74,,0.61,0.67,,20.42,1.19,,1.31,,,19.32,36.05,1.66,1.62,,0.54,3.63,196.81,9.75,59.19,,8.83,,1.66,38.57,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,56.48,17.34,,8.7,,,,,,,63.62,,7.38,58.87,2.03,8.08,9.01,3.31,9.34,,,376.42,,0.07,,,,,,,,,8.29,10.7,,0.77,,,,,,,22.79,1.0,,,,,,,0.91,,,,29.26,,,,,,3.31,,,2.98,2.28,,,,,1,9.34,,,,,,,,0.97,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,26.87,,,2.2,20.8,5.4,3.2,9.8,60.73,11,12.39,9.88,11.06,21.15,3.41,0.59,6.19,1.79,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.22,6.63,4.98,7.82,7.36,5.65,1.79,1.6,15.08,0.67,25.25,14.23,6.22,9.94,16.82,3.83,6.6,2.72,50.98,7.91,,16.92,,23.87,1.85,10.41,10.17,2.08,2.2,,,,,8.79,0.66,1.5,0.42,,,6.93,9.39,1.53,0.64,4.07,0.9,10.03,70.19,19.21,15.52,,15.33,,6.31,11.19,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABM,29.61,36.04,9.91,2.6,6.2,5.8,5.2,24.3,,,12.8,36.29,2.34,11.54,33.88,2.82,0.05,0.04,50.71,1.33,,,56.48,4.47,0.82,,0.26,1.84,21.14,14.21,27.62,11.26,8.95,0.54,0.55,4.73,0.35,2,5.3,2.08,13.58,24.83,8.13,2.33,52.15,,2.5,,0.98,,2.54,1.77,39.93,14.87,1.27,0.4,,0.77,1.67,,19.26,0.97,,0.97,,,14.2,60.05,0.81,0.89,,1.33,1.63,40.75,5.81,4.49,,3.02,,3.8,27.41,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
ABNB,3.03,44.12,9.71,,38.3,,,,,322.31,8,36.3,,,41.42,4.7,0.99,4.98,135.2,1.62,,33.1,6.78,0.96,0.27,,,,33.04,32.21,18.42,21.53,21.18,6.18,6.99,3.03,0.38,37.96,4.87,,30.63,,,10.75,168.43,83.07,22.92,,16.96,,15.01,9.99,47.44,47.44,,8.08,,,,,21.36,0.8,4.82,,,18.29,21.36,35.78,,,11,1.62,7.98,839.68,21.23,22.05,,19.8,,4.06,,,,2,92399740712.0,Other Consumer Services,Consumer Services
