Ticker,12-1 Month Momentum %,14-Day RSI,3-1 Month Momentum %,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year ROIIC %,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate Estimate,Future 3-5Y Total Revenue Growth Rate Estimate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-GF-Value,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
A,7.64,49.99,,1.5,7.9,7.7,13.5,33.2,24.7,58.71,10.5,65.14,1.07,,54.22,5.91,,0.74,0.61,133.84,1.78,125.99,57.06,66.46,1.56,0.5,,0.18,0.71,24.36,21.11,27.95,23.77,20.78,5.8,6.1,4.11,0.54,21.81,3.68,0.74,23.68,15.8,4.8,2.36,134.37,54.39,17.3,,,21.75,,22.9,6.52,27.77,25.69,2.14,6.03,,0.82,1.73,,27.65,1,5.33,1.19,,,21.94,27.65,1.99,2.06,24.88,1.37,13.03,74.15,18.1,23.78,,16.15,,3.35,43.16,,,10,33913792728.0,Medical Specialties,Health Technology
AA,59.29,61.37,29.21,1.4,10.2,,,,,75.95,5.9,61.72,0.88,,61.78,1.49,,0.38,0.45,45.47,1.41,78.33,59.38,26.65,4.45,0.56,,,0.88,1028.26,20.28,,7.29,5.3,1.16,1.21,0.1,0.36,,,0.88,14.23,,,4.06,33.03,11.35,1.6,,,,,2.02,2.24,,,,0.79,,,,,,1.38,,,,,22.04,,,1.78,2.32,0.8,,0.18,0.12,,,6.28,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,5.28,63.36,27.81,,10.4,,,,,597.78,27,61.07,,,62.49,0.68,,0.33,0.22,14.38,0.57,21.4,22.29,13.62,16.51,,,,,16.92,16.92,,6.25,4.59,0.71,0.75,5.91,,,,,7.02,,,4.01,16.14,20.34,1.4,,,0.51,,5.17,,43.58,13.23,,0.18,,,,,,0.89,,0.46,,,4.19,,,,,0.47,0.43,6.13,5.96,,,2.95,,29.26,12.52,,,8,8696254174.0,Airlines,Transportation
AAON,68.6,69.69,15.19,,26.3,8.1,29.5,31.8,,20.3,29.5,74.76,0.35,40.72,70.79,31.96,,,,137.42,3.06,92.39,12.1,42.3,0.24,0.09,,0.14,0.23,46.06,37.16,109.1,,,,9.29,2.17,0.77,8.52,0.92,0.23,46.69,20.37,19.72,15.07,79.78,35.65,94.37,,,15.78,,20.14,14.01,60.54,60.54,2.41,9.49,,3.29,9.66,,111.54,1.72,6.86,1.85,,57.5,47.21,71.91,2.42,9.32,17.51,1.79,19.56,38.79,29.01,25.52,,21.87,,0.47,120.29,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,55.85,,3.6,,26,,,,,8.9,64.24,52.38,,59.15,1.89,,0.08,0.12,40.79,1.34,232.75,194.44,24.05,7.27,1.47,,1.28,2.45,27.96,11.03,26.44,29.23,13.21,0.68,0.47,3.58,0.21,1.77,8.97,2.45,19.79,4.94,,,108.53,40.02,2.38,,,0.36,,1.55,0.94,55.88,52.29,,0.2,,,,,11.14,0.38,1.89,0.18,,,5.85,79.36,,0.38,1.53,0.62,0.36,4.12,2.95,1.7,,1.76,,4.59,5.62,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,23.29,54.83,5.05,2.7,,4.9,6.2,6.4,8.6,,5.4,67.27,0.56,23.55,58.55,8.81,,0.37,0.61,229.87,0.87,11.29,98.23,24.41,0.79,1.87,,0.15,0.43,28.54,26.11,32.32,26.59,24.51,8.42,8.99,3.5,0.16,27.83,3.13,0.44,31.11,18.25,11.49,6.89,187.73,46.21,,,,23.97,,31.51,61.02,37.81,34.05,2.14,9.06,,1.43,1.59,,32.59,1.22,9.61,2,,,29.98,34.91,2.17,2.54,60.97,0.83,26.93,278.63,59.87,140.28,,32.51,,3.31,49.91,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,45.9,58.92,5.07,,,9.7,8.1,22.2,18.4,28.45,8.5,70.27,5.83,25.67,62.13,0.79,,4.87,0.25,28.08,5.78,,148.94,6.31,7.97,1.8,,1.38,4.75,23.17,12.37,24.41,,,,7.24,4.32,0.35,29.66,7.92,4.77,38.98,8.91,,2.18,27.6,63.33,1.92,,,16.36,,28.14,1.44,28.95,28.95,12.59,4.7,,2.51,1.37,11.73,15.85,1.02,1.37,0.62,,,10.46,19.27,,1.24,1.46,5.78,2.43,683.81,4.81,6.24,,4.5,,,34.05,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABCL,,50.74,13.15,,8.7,,,,,,,53.01,,,50.51,1.82,,8.08,9.01,2.76,9.34,,,376.42,,0.07,,,,,,,,,8.29,7.39,,0.77,,,,,,,,1.02,,,,,,,,0.76,,,,24.42,,,,,,2.71,,,2.49,1.9,,,,,0.83,9.34,,,,,,,,1.1,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,43.93,,,2.2,20.8,5.4,3.2,9.8,60.73,11,51.95,10.95,,45.78,3.67,,0.59,6.19,2.19,1.2,93.05,189.94,25.24,0.13,0.03,,0.85,6.89,9.19,6.89,8.82,8.34,6.4,2.03,2.21,10.88,0.67,25.25,10.34,6.89,11.65,15.91,3.83,6.46,2.77,50.98,7.91,,,16.92,,23.87,2.03,14.33,14.03,2.86,2.43,,,,,9.72,0.79,1.67,0.46,,,7.68,10.39,1.7,0.71,4.47,0.9,10.03,70.19,19.21,15.52,,15.33,,6.27,12.3,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,9.09,62.37,,,50.3,,28.2,37.8,,8.08,24,65.43,,,63.4,2.79,,0.03,0.01,261.3,1.2,48.06,16.14,4.32,6.36,1.52,,,,13.92,12.65,38.99,11.87,10.82,0.57,0.62,7.18,0.33,1.58,5.09,,9.56,30.18,,6.16,262.15,17.41,3.89,,,2.16,,5.9,1.52,14.79,9.71,0.3,0.32,,0.31,1.72,,19.8,1,,1.11,,,10.46,88.52,0.39,0.54,,0.41,3.64,17.42,9.79,10.8,,7.97,,,13.86,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABT,13.07,56.09,3.59,0.7,6.3,12.3,6.8,6.7,,,5.8,63.89,3.49,10.78,58.33,5.33,,0.52,0.52,117.76,1.6,134.18,82.06,59.46,1.42,0.38,,0.48,1.87,28.73,19.98,32.6,22.56,17.82,4.69,5.13,3.48,0.54,15.74,3.18,1.87,22.8,11.26,8.9,6.48,108.31,55.55,11.5,,,13.99,,16.24,5.13,35.79,26.05,2.27,5,,1.41,1.65,,31.73,1.09,5.19,1.16,,,23.59,41.45,3.23,1.96,23.23,1.14,7.9,65.41,12.45,14.86,,10.65,,3.37,42.08,,,10,176555322492.0,Medical Specialties,Health Technology
ACA,24.19,73.97,5.62,,6.9,,13.2,4.1,,3.27,5.9,84.59,0.18,8.03,78.04,2.96,,1.75,0.61,110.58,3.61,70.83,47.61,57.32,3.31,0.51,,0.06,0.18,29.55,15.7,48.58,,,1.98,2.36,3.38,0.56,4.86,2.24,0.18,25.05,17.94,26.64,11.51,76.83,19.84,4.58,,,5.17,,7.87,2.22,42.05,34.24,1.7,2.17,,,,,44.66,1.44,2.71,,,,17.08,26.18,2.18,1.5,4.82,2.77,3.4,11.35,5.93,5.41,,5.14,,,,,,9,3644941042.999999,Trucks/Construction/Farm Machinery,Producer Manufacturing
ACAD,,52.87,,,,,38.8,40.9,46.1,223.57,16.4,43.8,,,50.37,2.68,,1.64,11.45,16.37,2.29,235.21,82.57,38.31,0.4,0.09,,,,19.67,17.73,10.89,13.49,16.64,2.16,2.38,5.08,0.59,21.82,7.44,,20.81,,,15.87,33.69,91.61,,,,13.83,,12.08,4.72,20.99,20.99,0.94,2.92,,,,,13.36,0.49,2.32,,16.37,7,13.36,20.44,,,5.76,2.11,15.57,203.67,21.17,27.32,,51.02,,,,,,,4047377469.0,Pharmaceuticals: Major,Health Technology
ACHC,,26.09,,,12.2,,,16.9,,,10.9,36.54,,,28.69,1.68,,0.13,0.04,38.23,1.07,18.46,542.09,44.04,3.16,0.66,,,,11.17,8.61,,8.8,6.95,1.59,1.75,8.95,0.52,,,,10.52,0.94,11.1,9.02,85.08,96.45,5.11,,,8.99,,17.48,1.16,12.53,10.9,,1.12,,,,,,0.45,1.57,0.52,,,27.08,,,1.15,5.06,1.06,5.05,19.42,10.06,9.78,,8.25,,,112.65,,,7,6460318360.000001,Medical/Nursing Services,Health Services
ACHR,,80.38,,,100.9,,,,,,,88.51,,,83.98,,,5.79,,,6.03,,,,,,,,,,,,,,42.83,,,,,,,,,17.54,,,,,,,,,,5.49,,,,,,,,,,,,,8.05,7.55,,,,,5.49,6.03,,,,,,,,,,,,,1649497955.0,Aerospace & Defense,Electronic Technology
