Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
AA,20.56,49.42,1.4,10.2,,,,,5.9,38.68,1.05,30.05,47.03,1.08,0.45,0.53,38.46,1.61,83.25,57.67,25.57,134.11,0.64,,,1.05,,443.77,,22.75,8.21,0.82,0.8,,0.28,,,1.05,333.61,,,3.32,40.02,6.37,,,,,,1.73,,,,0.69,,,,,,,,,,222.65,,,1.74,1.81,0.93,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,31.94,,10.4,,,,,27,34.27,,,32.74,0.66,0.33,0.21,11.15,0.58,20.92,21.48,13.98,14.34,,,,,13.95,13.95,,11.83,6.88,0.71,0.73,7.17,,,,,5.03,,20.16,4.56,18.66,21.59,1.73,,0.94,,6.83,,18.58,6.07,,0.14,,,,,,,0.32,,,2.8,,,,,0.48,0.76,7.26,6.75,,,3.98,,40.44,8.08,,,8,8696254174.0,Airlines,Transportation
AAON,14.12,55.76,,26.3,8.1,29.5,31.8,,29.5,40.58,0.58,0.78,52.77,27.95,0.07,0.49,85.34,3.13,101.08,13.09,45.31,0.06,0.02,,0.15,0.38,29.96,24.63,54.37,,,,5.94,3.34,0.82,10.92,1.81,0.38,,20.6,18.68,10.86,77.63,35.56,58.55,,15.44,,19.77,8.93,39.75,39.75,1.58,6.1,,2.19,4.87,,56.17,4.42,1.23,,31.26,28.97,42.75,1.71,6.06,11.08,1.57,19.39,38.08,29.18,25.9,,21.96,,0.78,82.06,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,31.8,3.6,,26,,,,8.9,23.48,36.56,3.62,28.42,1.28,0.09,0.11,58.74,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.71,69.19,17.05,14.81,18.81,10.24,0.62,0.62,1.45,0.21,4.18,13.45,1.71,16.11,7.13,102.47,1.3,163.68,39.77,1.15,,0.14,,0.85,1.37,85.13,85.13,,0.31,,,,,7.43,3.66,0.27,,,5.23,11.56,,0.51,3.53,0.29,0.13,1.96,1.42,0.62,,1.21,,,7.7,,,10,3557510972.0,Specialty Stores,Retail Trade
AAPL,2.39,76.61,2.9,1.3,5.7,20.9,23.2,14.6,15.7,88.13,0.58,3.72,80.36,10.33,0.54,0.64,232.98,1.04,11.92,90.05,21.43,0.8,1.41,,0.15,0.42,29.53,26.97,34.77,27.4,25.41,8.48,9.29,3.39,0.22,26.71,2.85,0.44,31.44,20.15,9.94,5.19,179.22,45.59,59.12,,26.31,,30.98,48.14,36.23,36.23,2.14,9.58,,1.5,1.7,,35.71,8.81,2.36,,,32.88,38.51,2.04,2.72,48.14,0.99,29.34,262.55,56.47,150.79,,34.83,,2.95,52.71,,,10,2736146930271.0005,Telecommunications Equipment,Electronic Technology
AAT,7.41,54.34,,,9.7,8.1,22.2,18.4,8.5,53.51,7.41,,54.9,0.65,0.98,0.06,22.1,2.06,,143.65,6.4,6.71,1.43,,1.49,6.03,21.84,11.59,24.2,,,,6.66,4.58,0.4,27.51,9.08,6.08,,7.98,,2.41,29.16,62.64,1.88,,15.46,,27.6,1.12,24.83,24.83,10.8,3.79,,2.15,1.2,9.74,13.82,1.12,0.48,,,8.8,17.18,,0.99,1.14,2.06,2.29,612.23,4.67,5.68,,4.28,,3.87,27.63,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABCL,,34.66,,8.7,,,,,,51.67,,,38.85,1.95,6.66,9.48,2.8,7.76,,,342.96,,0.07,,,,,,,,,8.29,5.72,,0.77,,,,,,,31.92,1.22,,,,,,,0.73,,,,22.6,,,,,,,,2.26,1.71,,,,,0.85,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,41.24,,2.2,20.8,5.4,3.2,9.8,11,55.65,11.33,,46.14,3.4,0.4,3.65,2.12,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,7.13,8.46,6.24,8.28,8.12,6.18,1.95,1.96,11.82,0.65,25.4,12.31,7.13,12.45,14.89,5.25,6.19,2.95,50.66,6.83,,18.25,,23.83,2.08,11.34,10.87,2.22,2.29,,,,,9.01,1.62,0.41,,,6.99,10.15,1.74,0.68,4.93,0.7,10.77,64.69,18.64,17.03,,17.22,,6.56,11.16,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,,41.89,,50.3,,28.2,37.8,,24,32.51,,9.99,37.88,2.67,0.01,0.01,227.28,1.06,41.41,16.44,4.01,5.01,1.53,,,,10.05,9.36,97.5,10.6,9.77,0.54,0.62,9.95,0.33,0.64,2.14,,7.69,31.84,,8.89,254.14,18.22,5.43,,3.68,,6.86,1.37,8.28,7.22,0.22,0.3,,0.23,4.11,,47.46,,1.04,,,14.68,123.35,0.29,0.5,,0.38,6.33,26.89,13.18,17.8,,9.59,,,12.49,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABM,19.83,45.24,2,8.4,5.9,40.8,24.6,,11.1,24.12,2.25,17.09,37.39,3.03,0.05,0.04,49.02,1.44,,,58.62,2.69,0.76,,0.28,1.84,10.86,8.5,12.69,10.92,8.82,0.52,0.54,9.21,0.37,4.23,11.29,1.85,13.37,26.91,,2.09,50.59,,4.81,,3.04,,4.88,1.67,12.83,15.61,0.97,0.39,,0.84,0.8,,9.22,,0.99,,,7.92,8.51,0.78,0.85,,1.44,5.04,65.99,10.75,13.69,,7.32,,2.72,25.01,,,10,2657328642.9999995,Miscellaneous Commercial Services,Commercial Services
