Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,ClosePrice,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,FCF Margin %,FCF Yield %,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,GFValue,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Market Capitalization,Industry,Sector
AA,13.17,25.54,1.4,10.2,,,,,5.9,8.98,1.2,28.81,17.76,1.04,,0.44,0.55,33.43,1.55,79.98,58.53,26.31,10.94,0.65,,,1.2,,30.31,,19.05,6.88,0.69,0.66,,0.27,,,1.2,266.02,,,2.94,39.84,8.14,,,,,,,1.54,,,,0.55,,,,,,,,,,17.93,,,1.47,1.54,0.92,,,,,,,,,,,,3,5148271475.0,Aluminum,Non-Energy Minerals
AAL,,41.58,,10.4,,,,,27,48.67,,,44.38,0.66,,0.33,0.21,10.62,0.58,20.92,21.48,13.98,14.34,,,,,19.02,19.02,,11.52,6.7,0.69,0.71,5.26,,,,,5.42,,18.49,4.37,18.7,21.59,1.73,,,0.94,,6.83,,,10.98,,0.14,,,,,,,0.3,,,2.7,,,,,0.48,0.76,7.26,6.75,,,3.98,,41.89,7.7,,,8,8696254174.0,Airlines,Transportation
AAON,25.98,49.45,,26.3,8.1,29.5,31.8,,29.5,38.33,0.53,21.39,45.37,28.37,,0.07,0.49,87.59,3.13,101.08,13.09,45.31,0.06,0.02,,0.15,0.35,30.47,25.05,55.29,,,,6.04,3.28,0.82,10.92,1.77,0.35,,20.59,18.4,10.79,77.74,35.56,58.55,,,15.44,,19.77,9.16,40.8,40.8,1.63,6.3,,2.25,4.99,,57.63,4.54,1.26,,32.08,29.74,43.86,1.76,6.22,11.38,1.57,19.39,38.08,29.18,25.9,,21.96,,0.79,84.22,,,10,4968385340.0,Industrial Machinery,Producer Manufacturing
AAP,,44.25,3.6,,26,,,,8.9,47.03,35.06,,45.44,1.29,,0.09,0.11,60.76,1.22,265.7,210.84,26.55,9.72,1.55,,3.26,1.64,70.52,17.37,15.1,19.18,10.44,0.63,0.63,1.42,0.21,4.18,13.01,1.64,16.72,6.72,102.47,1.3,163.68,39.77,1.15,,,0.14,,0.85,1.41,88.06,88.06,,0.32,,,,,7.69,3.78,0.28,,,5.4,11.94,,0.53,3.65,0.29,0.13,1.96,1.42,0.62,,1.21,,,7.96,,,10,3557510972.0,Specialty Stores,Retail Trade
AAT,,66,,,9.7,8.1,22.2,18.4,8.5,62.49,6.5,,65.76,0.7,,0.98,0.06,25.22,2.06,,143.65,6.4,6.71,1.43,,1.49,5.29,23,12.2,25.48,,,,7.01,4.35,0.4,27.51,7.95,5.32,,7.49,,2.41,29.14,62.64,1.88,,,15.46,,27.6,1.28,28.34,28.34,12.32,4.24,,2.46,1.37,10.92,15.48,1.28,0.55,,,9.85,19.24,,1.13,1.3,2.06,2.29,612.23,4.67,5.68,,4.28,,3.5,31.53,,,10,1249105589.0,Real Estate Investment Trusts,Finance
ABBV,20.61,69.2,,,7.8,9.6,49.1,7.4,3.8,83.57,5.32,4.11,74.73,1.91,,0.44,0.24,185.16,0.94,72.03,65.71,76.29,4.7,9.24,,0.55,3.26,38.29,20.41,17.25,15.37,14.52,6.84,6.94,2.61,0.05,39.8,6.7,3.3,15.83,23.87,7.07,5.11,142.18,62.76,6,,,9.71,,24.95,40.78,54.94,16.89,1.09,5.86,,0.76,0.49,,14.67,,1.37,,,14.16,21.58,0.96,1.61,,0.83,3.87,188.7,9.07,47.16,,9.28,,4.74,40.34,,,10,268498884868.0,Pharmaceuticals: Major,Health Technology
ABCL,,50.24,,8.7,,,,,,53.23,,,52.49,2.1,,6.66,9.48,3.26,7.76,,,342.96,,0.07,,,,,,,,,8.29,8.02,,0.77,,,,,,,31.92,1.22,,,,,,,,0.85,,,,25.26,,,,,,,,2.63,1.99,,,,,0.99,7.75,,,,,,,,,,,,4,1545160366.0,Biotechnology,Health Technology
ABEV,,45.23,,2.2,20.8,5.4,3.2,9.8,11,38.11,11.37,,44.52,3.52,,0.4,3.65,2.11,0.99,102.26,192.59,24.29,0.15,0.04,,0.77,7.16,8.41,6.21,8.75,8.58,6.53,2.06,1.95,11.89,0.65,25.4,12.37,7.16,12.69,14.48,5.16,6.39,2.95,50.66,6.83,,,18.25,,23.83,2.18,11.28,10.82,2.21,2.36,,,,,9.36,1.69,0.43,,,7.24,10.53,1.8,0.71,5.15,0.7,10.77,64.69,18.64,17.03,,17.22,,6.25,11.72,,,10,43328543728.065,Beverages: Alcoholic,Consumer Non-Durables
ABG,0.08,58.37,,50.3,,28.2,37.8,,24,56.27,,3.82,58.31,2.72,,0.01,0.01,254.21,1.06,41.41,16.44,4.01,5.01,1.53,,,,10.61,9.89,103.01,11.2,10.33,0.58,0.66,9.43,0.33,0.64,1.91,,8.72,30.57,,8.9,255.76,18.22,5.43,,,3.68,,6.86,1.53,9.26,8.08,0.25,0.33,,0.26,4.6,,53.12,,1.16,,,16.44,137.93,0.32,0.56,,0.38,6.33,26.89,13.18,17.8,,9.59,,,13.97,,,10,4632090814.999999,Specialty Stores,Retail Trade
ABNB,,33.74,,38.3,,,,,8,20.41,,0.25,28.38,4.02,,0.78,5.4,140.03,1.44,,31.15,7.78,0.93,0.26,,,,37.11,36.32,19.03,23.89,20.15,7.12,7.8,2.69,0.32,40.97,4.72,,32.28,,,11.92,169.17,82.86,20.56,,,48.23,,15.86,11.3,18.76,18.76,,9.04,,,,,22.05,3.23,,,23.77,21.92,15.81,,,12.54,1.44,22.9,794.68,22.38,69.5,,64.25,,2.94,,,,2,92399740712.0,Other Consumer Services,Consumer Services
