,Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year
0,A,-5.64,41.33,1.5,5.4,8.6,17.9,7.4,7.8,12,52.63,1.19,-6.25,42.75,5.31,,0.76,0.48,2.29,113.46,55.49,72.53,1.59,0.5,Grey,0.23,0.76,23.84,20,24.4,18.37,18.15,5.04,5.01,4.19,0.52,0.78,20,17.89,7.46,3.18,50.93,14.72,,,16.2,WACC vs ROIC,20.2,6.11,30.34,30.34,2.23,4.96,7/9,,,,24.15,6.54,1.01,,,20.11,32.15,2.04,1.86,31.67,1.68,10.61,68.56,16.6,20.72,,13.47,Beneish M-Score,4.5,41.25,ROIC,,10
1,AA,-29.67,43.74,1.6,9,,54.4,51.8,4.4,6.8,46.22,1.37,-23.71,45.19,1.01,,0.38,0.55,1.8,87.3,57.92,26.06,-3.34,0.37,Grey,,1.39,-5.41,-11.42,-14.74,5.54,3.42,0.51,0.57,-18.48,0.34,1.39,11.31,-1.82,,-0.36,6.3,,,,-13.56,WACC vs ROIC,-2.01,1.06,,,,0.5,3/9,,,,,,,,,70.54,,,0.79,1.11,0.87,-9.98,-15.69,-9.65,-28.74,,-2.32,Beneish M-Score,0.51,,ROIC,,3
2,AAL,8.97,21.84,-15,-218.4,,-19,-63.1,3.4,-10.1,15.25,,12.19,17.82,0.87,,0.5,0.28,0.75,20.56,21.47,13.84,7.65,-9.71,Grey,,,7.04,7.04,24.49,8.46,5.18,0.72,0.74,14.2,-0.07,,3.84,-26.97,66.42,2.66,23.77,2.33,,,4.98,WACC vs ROIC,9.34,,3.57,3.57,,0.17,7/9,,,,5.36,,0.39,,,2.06,369.75,,,,0.66,3.95,14.68,12.75,Neg. Equity,,5.77,Beneish M-Score,20.64,23.77,ROIC,,7
3,AAON,62.96,40.4,-0.9,23.5,10.5,20.6,22.2,,22.6,23.5,1.06,7.01,35.66,13.98,,0.03,0.06,2.76,95.25,19.16,48.84,0.39,0.13,Grey,0.18,0.66,27.7,22.69,142.72,,,,4.82,3.61,0.71,0.53,,16.99,,,30.11,39.79,,,14.22,WACC vs ROIC,17.41,5,33.69,33.69,2.76,4.79,7/9,2.09,12.13,,139.96,3.1,0.99,,21.44,40.78,89.64,2.04,5.87,6.41,1.36,17.83,35.22,26.35,26.17,,20.87,Beneish M-Score,0.42,66.9,ROIC,,10
4,AAP,-58.4,34.8,5.1,-4.1,192.4,8,6.5,-4.2,10.4,34.99,296.33,-42.74,33.63,1.94,,0.06,0.07,1.26,285.48,228,26.57,5,1.52,Grey,0.78,7.94,14.02,8.96,-66.95,14.48,8.76,0.65,0.66,7.13,0.22,1.67,10.58,19.44,14,1.54,43.58,6.79,,,3.08,WACC vs ROIC,4.76,1.31,10.35,10.35,1.11,0.33,4/9,0.9,,,,1.21,0.27,,,14.51,,1.24,0.44,3.16,0.25,2.84,10.25,7.63,12.76,,5.62,Beneish M-Score,-2.8,7.44,ROIC,,10
5,AAPL,16.46,39.8,3.6,-14.5,6.3,22.8,27.2,29.2,20,31.82,0.79,15.99,37.04,8.28,,0.5,0.57,0.98,10.77,87.43,21.15,0.86,1.81,Grey,0.16,0.54,24.27,22.03,27.67,22.88,20.6,6.79,7.28,4.12,0.18,0.55,26.32,21.24,11.82,3.14,43.45,29.86,,,24.68,WACC vs ROIC,29.23,45.45,29.41,29.41,1.69,7.24,6/9,1.33,1.3,,27.56,7.71,1.88,,,24.63,28.17,1.6,2.23,45.46,0.92,27.82,271.14,55.53,164.55,,31.88,Beneish M-Score,3.09,44.19,ROIC,,10
6,AAT,-21.26,43.52,-0.4,-2.8,3.9,1.6,-5,-2.6,2.3,45.02,7.37,12.96,42.79,0.61,,0.83,0.05,1.77,,153.49,6.63,6.88,1.41,Grey,1.55,6.37,22.71,11.62,30.1,,,,6.65,4.4,0.4,6.42,,4.47,,,63.49,1.95,,,14.92,WACC vs ROIC,27.45,1.03,24.49,24.49,24.49,3.64,6/9,2.11,1.42,9.22,16.51,1.09,0.46,,,8.31,16.26,,0.94,1.08,1.77,2.16,532.12,4.41,5.3,,4.11,Beneish M-Score,5.36,27.07,ROIC,,10
7,AB,-31.26,61.38,-5.1,4.8,15.1,,2.6,15.3,2.6,74.23,12.83,-16.68,67.15,,,,,,,,,,,,1.2,7.92,,,12.34,3.85,3.58,0.83,13.29,,,7.92,10.3,11.74,1.05,,,,,,88.2,,,1.83,14.52,14.52,6.05,12.78,,0.73,0.69,,12.09,1.09,1.15,,,12.09,,,0.86,1.83,,12.89,,,13.48,,,,8.43,11.93,,,10
8,ABBV,6.74,61.71,-6.2,,9.6,18.2,7.9,16.6,13.4,66.87,8.01,-1.26,64.09,2.04,,0.27,0.14,0.89,75.59,61.48,73.23,2.85,4.74,Grey,1.19,3.85,25.52,15.1,13.04,13.16,12.41,6.06,5.78,3.92,0.1,3.89,13.89,27.07,2.3,-1.99,68.91,8.11,,,15.5,WACC vs ROIC,32.31,20.87,31.3,31.3,1.57,4.87,7/9,1.9,0.39,,10.92,,1.11,,,10.62,15.91,1.42,1.26,,0.77,6.26,257.12,11.81,58.65,,12.91,Beneish M-Score,9.34,33.65,ROIC,,10
9,ABCB,-12.16,45.45,0.1,9.1,6.3,,22,,8.8,48.59,2.48,13.67,44.79,,,,,,,,,,,,0.14,1.52,,,7.36,,,,3.88,,,1.52,9.2,16.27,,,,,,,28.14,,,0.83,9.16,9.16,0.61,2.6,,0.29,0.42,,4.92,0.72,0.73,,,4.8,9.73,0.86,0.59,1.26,,1.2,,,9.35,,,,-44.63,11.86,,,10
10,ABCL,-49.26,40.06,-6.5,631.1,,,,,215.7,49.25,,-25.71,42.89,3.52,,6.69,9.47,7.83,32.46,321.47,132.26,-1.62,0.07,Grey,,,-8.95,-15.23,-4.15,-2.55,-2.87,12.37,5.45,-11.17,0.78,,,,,,88.57,N/A,,N/A,-50.91,WACC vs ROIC,-72,1.29,,,,11.47,2/9,,,,,,,3.4,2.62,,,,,1.51,7.82,-4.79,-38.94,-6.26,-6.06,,-18.71,Beneish M-Score,-2.39,,ROIC,,4
11,ABCM,37.42,49.09,-3.8,22.7,,-22.7,,,13.9,36.79,,61.57,46.79,5.89,,0.42,0.36,1.35,254.76,177.85,70.78,3.49,0.3,Grey,,,439.08,68.73,-137.61,24.75,19.79,8.46,11.4,0.23,0.7,,32.57,-8.94,,18.15,75.88,1.08,,,0.66,WACC vs ROIC,2.24,3.89,1509.33,1509.33,,7.38,4/9,,,,,39.72,0.74,,,107.05,,,3,23.58,1,0.24,3.76,1.06,0.35,,5.73,Beneish M-Score,,64.69,ROIC,,9
12,ABEV,-1.74,36.1,,10.1,15.8,5.3,7.1,2,15.3,35.99,7.25,6.42,35.44,3.8,,0.36,3.04,1.01,108.48,188.72,22.45,0.2,0.05,Grey,0.85,5.29,14.9,10.34,14.2,8.78,6.81,2.23,2.62,6.71,0.64,5.29,13.25,9.44,7.32,6.69,49.95,14.8,,,17.26,WACC vs ROIC,21.38,2.5,15.34,15.34,6.67,2.58,5/9,,,,14.9,1.95,0.44,,,10.33,16.87,,0.89,5.81,0.65,10.42,49.07,14.39,16.66,,18.45,Beneish M-Score,4.76,13,ROIC,,10
13,ABG,40.2,50.21,-3.8,58.9,,53,67.2,21.4,22.6,49.98,,11.99,50.55,3.57,,0.08,0.03,1.91,29.52,18.83,6.71,2.41,1.15,Grey,,,5.92,5.65,26.48,7.57,6.97,0.47,0.56,16.89,0.38,,7.28,30.7,10.4,20.79,19.57,7.41,,,6.28,WACC vs ROIC,7.92,1.58,5.25,5.25,0.15,0.34,5/9,0.17,0.5,,15.76,,1.14,,,11.71,9.5,0.21,0.52,,0.77,11.75,49.06,20.32,33.25,,12.54,Beneish M-Score,12.98,13.78,ROIC,,10
14,ABM,10.52,36.93,0.5,4.2,2.7,13,21.3,,6,41.34,2.42,2.82,37,2.86,,0.08,0.07,1.47,,,59.34,2.86,0.78,Grey,0.24,2.11,10.54,8.02,23.45,10.4,8.18,0.5,0.51,9.49,0.37,2.17,12.27,22.06,,1.66,,4.92,,,2.96,WACC vs ROIC,4.77,1.43,11.39,11.39,0.94,0.35,4/9,,,,15.57,,0.87,,,12.21,13.23,0.78,0.84,,1.47,4.88,63.19,10.65,13.52,,7.21,Beneish M-Score,-6.98,22.53,ROIC,,10
15,ABNB,3.85,58.33,-5.9,,,,,201.3,10.9,51.41,,14.32,59.26,4.18,,0.76,4.45,1.47,,31.35,,0.94,0.46,Grey,,,34.44,33.81,21.56,25.19,24.81,7.51,9.24,2.9,0.24,,33.44,,20.75,14.04,82.33,116.77,,,25.31,WACC vs ROIC,21.53,17.79,41.64,41.64,,10.57,8/9,,,,24.62,6.16,,,22.95,24.46,,,,20.54,1.47,12.45,911.02,31.03,43.08,,42.81,Beneish M-Score,2.59,,ROIC,,1
16,ABR,6.3,54.24,-17.6,9,10.5,,9.6,,1.1,63.42,20.66,36.08,56.99,,,,,,,,,,,,0.94,10.29,,,28.28,,,,18.03,,,10.73,,15.49,,,,,,,51.36,,,1.23,9.32,9.32,1.48,4.93,,0.49,0.67,8.27,7.73,0.8,1.34,,,7.73,,1.15,0.71,1.54,,2.07,,,12.09,,,,-37.73,9.96,,,10
17,ABT,-0.11,40.45,0.5,6.2,13.7,16.4,23.8,20.5,11.4,39.84,3.64,7.3,40.42,4.67,,0.57,0.48,1.64,126.89,87.47,58.1,1.67,0.45,Grey,0.67,1.97,27.12,18.46,34.04,19.88,16.92,4.45,4.64,3.69,0.51,2.01,22.03,19.31,0.58,0.55,55.16,10.09,,,12.83,WACC vs ROIC,15.23,4.76,34.72,34.72,2.2,4.47,5/9,1.11,2.29,,32.58,8.18,1.13,,,23.96,26.67,2.18,1.59,43.29,1.16,7,72.4,11.53,14.1,,9.69,Beneish M-Score,3.15,39.9,ROIC,,10
18,ACA,37.5,45.72,-0.1,6.8,,27.8,29.6,-49,8.8,43.23,0.27,31.75,44.15,3.24,,0.47,0.36,2.32,65.6,43.52,58.4,1.01,0.24,Grey,0.03,0.27,10.41,7.44,111.23,,,1.61,1.8,9.61,0.65,0.27,21.37,23.24,,6.9,19.29,5.43,,,12.65,WACC vs ROIC,7.35,1.6,12.84,12.84,0.67,1.65,6/9,,,,102.61,1.4,,,,16.91,10.44,0.58,1.26,3.44,1.47,8.34,24.51,12.94,13.19,,4.48,Beneish M-Score,4.64,,ROIC,,8
19,ACAD,57.2,32.32,-1.4,-18.1,,6.1,5.7,12,11.6,16.89,,44.69,25.53,5.91,,2,6.38,2.62,182.04,378.16,44.21,-0.47,0.15,Grey,,,-30.68,-31.47,-114.12,18.35,44.1,4.65,7.1,-3.26,0.62,,82.64,,,20.68,97.52,N/A,,N/A,-20.12,WACC vs ROIC,-23.14,10.21,,,,7.29,5/9,,,,,,,31.29,16.48,,,,,12.3,2.57,-17.87,-207.97,-27.37,-27.28,,-93.12,Beneish M-Score,-0.47,,ROIC,,
20,ACGL,63.62,59.91,3,7.3,,-2.8,-0.6,26.8,15.8,69.09,,23.3,64.04,,,,,,,,,,,,,,13.2,12.69,7.37,,,2.23,2.8,7.58,,,10.89,25.03,,15.53,,,,,19.41,,,2.13,13.39,13.39,0.78,2.54,,0.69,0.26,,6.7,1.16,1.16,,,6.61,7.29,0.85,0.6,2.26,,4.62,,,17.21,,5.09,,-0.52,23.8,,,10
21,ACHC,-8.14,29.17,-0.8,3.1,,15.1,71.6,-6.9,7.6,10.42,,12.45,20.38,2.78,,0.26,0.07,1.34,17.98,427.44,42.86,2.7,0.53,Grey,,,17.97,14.08,191.85,13.27,10.63,2.45,2.88,5.56,0.57,,18.48,11.04,,11.68,96.27,6.21,,,9.74,WACC vs ROIC,17.5,2.21,23.68,23.68,9.47,2.34,7/9,,,,155.1,3.29,0.99,,,17.86,62.84,2.9,1.61,10.29,1.33,5.41,20.98,9.7,9.68,,8.01,Beneish M-Score,0.55,146.02,ROIC,,8
22,ACHR,100.32,51.6,,,,,,,,43.28,,132.6,48.51,,,2.58,,2.68,,,,,,,,,-3.06,-3.09,-5.66,,-3.67,289,,-32.68,,,,,,,,,,,,,,5.86,,,,,,,,,,,,8.06,7.5,,,,,5.92,2.68,-83.67,-1580.6,-95.43,-102.67,,-1030.3,,0.34,,,,
23,ACI,-20.8,73.99,-5.9,-15.9,,14.2,41.6,21.1,10.6,69.72,2.03,10.75,75.14,3.6,,0.03,0.02,0.78,31,26.03,3.07,3.09,7.27,Grey,0.22,2.04,12.3,5.91,51.77,9.97,6.24,0.35,0.36,8.13,0.08,2.04,8.41,28.26,4.85,2.23,27.9,4.51,,,1.85,WACC vs ROIC,2.72,6.78,11.48,11.48,0.45,0.17,4/9,,,,25.19,,,,,4.96,16.04,0.56,0.98,,0.16,5.2,15.02,12.1,56.12,,7.64,Beneish M-Score,-2.05,32.69,ROIC,,7
24,ACIW,4.86,50.6,2.3,4.3,,14.6,29.6,8.3,5.5,50.52,,3.57,50.52,2.12,,0.17,0.12,1.32,,22.88,64.12,3.44,0.94,Grey,,,19.54,11.11,40.55,,,2.32,2.61,5.12,0.38,,15.9,20.1,,3.56,48.2,1.99,,,5.42,WACC vs ROIC,10.05,2.18,36.22,36.22,2.11,1.93,6/9,2.74,2.13,,29.56,,0.73,,,19.58,24,2.44,1.09,,1.32,2.36,106.59,7.89,6.26,,3.04,Beneish M-Score,0.98,29.43,ROIC,,10
25,ACLS,174.72,39.56,-0.2,16.5,,87.5,121.9,,39.3,18.31,,36.94,32.29,11.93,,1.82,9.88,3.82,154.78,35.68,59.83,0.19,0.06,Grey,,,23.39,22.24,22.66,,15.53,4.12,5.35,4.28,0.66,,19.57,21.52,,14.06,42.67,40.72,,,20.19,WACC vs ROIC,21.93,7.4,26.99,26.99,0.82,5.48,7/9,,,,23.09,2.97,3.07,73.04,9.6,21.97,25.08,1.08,2.95,7.38,2.62,20.93,77.72,30.7,31.15,,38.11,Beneish M-Score,0.85,78.68,ROIC,,8
26,ACLX,72.98,38.13,-59.9,,,-46.1,-46,-10.1,,21.74,,22.6,32.07,1.97,,3.24,5.41,3.57,,,287.01,-0.53,0.32,Grey,,,-6.7,-6.76,11.37,-1185.9,-9.86,5.37,37.2,-14.93,0.47,,,,,,,,,,-567.25,,-601.9,5.44,,,,48.09,N/A/9,,,,14.82,,,9.03,7,13.51,,,,5.44,3.57,-40.2,-422.27,-49.2,-67.45,,-149.27,WACC vs ROIC,-4.69,,ROIC,,
27,ACM,22.96,40.67,4.1,-8.7,,11.5,27.4,-1.6,2.6,37.7,0.83,6.15,38.25,2.1,,0.22,0.45,1.1,,56.84,63.46,4.38,1.14,Grey,0.5,0.82,28.54,20.69,22.87,14.05,12.25,1.84,0.94,3.5,0.22,0.86,19.08,12.44,16.08,-7.86,6.52,5,,,0.97,WACC vs ROIC,5.42,4.75,87.43,60.82,30.41,0.83,7/9,,,,20.42,,2.13,,,16.21,74.73,7.51,1.55,,1.1,1.2,46.97,7.99,5.41,,8.55,Beneish M-Score,2.57,110.43,ROIC,,7
28,ACN,12.25,42.79,0.2,15.6,9.9,16.9,13.3,14,13,26.72,2.28,24.87,36.62,7.54,,0.5,2.76,1.37,,20.72,70.86,0.27,0.12,Grey,0.39,1.43,20.54,16.71,20.71,19.23,15.74,2.82,3.06,4.87,0.51,1.43,25.06,18.03,8.62,5.98,32.25,213.18,,,11.27,WACC vs ROIC,14.42,7.78,27.85,27.85,1.76,3.12,6/9,1.77,1.09,,21.32,4.74,1.19,,,20.15,25.83,1.95,1.56,18.14,1.37,15.03,206.74,30.67,30.99,,22.46,Beneish M-Score,2.08,37.88,ROIC,,10
29,ACT,23.93,40.06,,2.3,,9.7,1.2,3.8,3.7,23.08,2.19,33.24,32.13,,,,,,,,,,,,0.14,2.17,4.89,4.89,8.22,,,3.6,4.05,20.45,,2.32,7.26,,,3.42,,,,,61.14,,,1.02,6.62,6.62,,4.06,,,,,8.31,0.55,,1.1,,8.31,,,,1.02,,11.72,,,16.18,,13.8,,6.31,,,,4
30,ACVA,69.35,42.22,-5.8,,,-0.5,-4.1,-2,49.8,30.14,,23.45,38.42,3.43,,1.45,4.77,2.18,,524.47,143.83,-1.57,0.22,Grey,,,-26.45,-31.82,-362.01,,,3.6,4.77,-3.78,0.51,,,,,20.38,47.52,,,,-18.33,WACC vs ROIC,-20.8,5.25,,,,5.59,6/9,,,,,,,62.4,8.57,119.18,,,,8.13,2.18,-8.68,-1053.26,-13.86,-16.68,,-56.32,Beneish M-Score,-1.89,,ROIC,,
31,ADBE,67.79,45.28,1.4,11.7,,20.9,19,24.3,18.1,26.89,,55.48,38.61,14.62,,0.82,1.61,1.16,,55.54,35.1,0.57,0.28,Grey,,,39.21,34.51,33.44,24.48,22.49,11.04,13.48,2.55,0.53,,29.94,22.17,14.23,10.86,87.77,56.74,,,26.34,WACC vs ROIC,33.64,16.35,50.47,50.47,2.01,13.29,7/9,1.61,1.06,,33.04,26.35,1.15,,,31.21,41.63,2.15,2.69,309.29,1.16,18.01,273.13,32.88,33.97,,19.6,Beneish M-Score,2.24,83.69,ROIC,,10
32,ADC,-14.6,29.41,-25.5,10,7.2,7.5,-1.8,14.2,6.1,24.03,6.69,-10.32,26.27,1.63,,0.07,,0.74,,514.48,51.07,5,0.43,Grey,1.63,4.86,33.99,18.88,20.45,24.43,14.71,12.22,16.77,2.94,0.68,4.9,31.85,12.73,,24.68,87.66,3.27,,,33.7,WACC vs ROIC,48.63,1.15,33.79,33.79,4.83,10.86,4/9,2.93,1.01,13.89,13.15,1.45,0.87,,,13.15,,4.87,0.91,1.39,0.74,2.43,,3.61,3.55,,3.51,Beneish M-Score,-13.1,27.66,ROIC,,10
33,ADEA,57.53,49,-28.5,-36.2,-37,45.3,,-20.7,-10.6,67.58,0.47,21.51,55.55,1.37,,0.98,0.13,2.33,90.48,157.6,178.33,2.34,1.96,Grey,0.22,2.01,10.49,5.9,8.73,,,4.02,10.79,9.53,0.29,2.01,,49.24,,,78.68,2.66,,,-192.38,WACC vs ROIC,105.87,3.28,,,,6.37,2/9,,,,6.03,,2.83,,,5.87,,,0.52,,2.33,-17.52,255.43,10.36,-43.06,,18.02,Beneish M-Score,10.25,99.5,ROIC,,4
34,ADI,22.62,44.73,-11.4,31.1,12.2,16.4,12.9,10.8,12.6,48.42,3.19,-0.88,45.92,4.89,,0.41,0.17,1.71,122.4,46.06,47.8,1.05,0.19,Grey,0.44,1.87,22.04,14.32,25.84,23.9,17.09,8.65,7.43,4.54,0.73,1.93,21.23,14.69,8.85,0.13,65.23,18.14,,,29.23,WACC vs ROIC,34.03,2.47,24.21,24.21,2.42,7.05,6/9,1.63,1.23,,24.6,,1.07,,,18.99,22.12,2.15,1.49,,1.1,7.51,118.79,9.13,10.33,,8.67,Beneish M-Score,4.06,43.35,ROIC,,10
35,ADM,-3.32,44.14,0.6,8.8,4.6,30.8,46.7,,16.4,46.08,2.67,7.32,44.16,3.86,,0.08,0.15,1.63,54.71,24.74,21.97,1.5,0.39,Grey,0.23,2.21,9.36,7.88,14.27,11.63,9.73,0.54,0.52,10.68,0.45,2.27,11.85,17.96,-8.45,-3.06,7.54,7.35,,,4.15,WACC vs ROIC,4.1,1.71,10.59,10.59,0.65,0.45,6/9,,,,12.29,1.04,1.09,,330.63,8.71,8.51,0.55,,2.31,1,7.05,24.71,15.37,16.93,,6.94,Beneish M-Score,12.23,18.08,ROIC,,10
36,ADNT,18.87,43.75,-0.4,3.5,,6.9,37.7,,-5.5,42.22,,1.59,43.29,2.04,,0.24,0.36,1.18,23.94,64.47,45.15,2.99,1.17,Grey,,,10.26,6.16,13.95,8.42,5.36,0.33,0.34,9.75,0.23,,10.38,,,5.68,6.96,2.5,,,0.75,WACC vs ROIC,3.08,1.67,31.69,31.69,,0.24,5/9,,,,9.77,,,,,6.02,26.49,,1.48,,0.95,1.23,36.16,8.79,5.34,,4.96,Beneish M-Score,22.89,,ROIC,,5
37,ADP,8.78,39.76,1.4,-14,10.8,13.1,12.9,16.2,8.4,14.65,3.61,17.69,27.79,2.53,,0.05,0.63,0.99,,3.3,65.17,0.64,0.95,Grey,0.58,2.04,22.06,19.75,28.47,20.92,17.71,5.35,6.02,4.53,0.07,2.04,26.81,14.99,9.64,8.02,42.13,14.58,,,19.84,WACC vs ROIC,21.48,28.79,29.92,29.92,2.27,5.96,5/9,1.47,1.65,,28.08,,1.34,,,24.24,41.87,2.4,2.82,,0.99,6.21,437.23,59.69,106.68,,5.47,Beneish M-Score,3.54,42.22,ROIC,,10
38,ADSK,4.09,49.51,0.7,,,35.7,57.9,14.9,16,39.42,,7.02,45.99,3.99,,0.53,0.78,0.73,,87.37,38.8,2.3,2.21,Grey,,,45.97,40.43,21.38,30.87,28.26,8.5,9,2.18,0.13,,28.9,-15.94,16.18,11.55,90.45,46,,,16.77,WACC vs ROIC,19.42,37.83,52.81,52.81,,8.87,8/9,,,,21.09,,0.87,,,20.68,30.68,,2.52,,0.73,9.83,249.27,20.22,89.29,,9.26,Beneish M-Score,1.56,270.06,ROIC,,6
39,ADT,-22.05,47.95,-6.8,-4.3,,-7.5,,-13.7,-1.3,63.69,2.28,-7.78,51,0.28,,0.06,0.02,0.67,72.27,79.94,32.63,5.32,2.92,Grey,,2.3,54.09,8.22,14.82,,5.52,2.24,2.32,1.85,0.19,2.3,10.34,11.94,,4.2,68.71,2.36,,,-0.58,WACC vs ROIC,15.86,1.69,,,,0.89,5/9,,,,5.72,,,,,3.06,14,,0.51,,0.51,-0.21,8.12,1.83,-1.12,,1.11,Beneish M-Score,2.32,,ROIC,,2
40,ADUS,5.31,35.56,-1.1,8.9,,16,16.2,125.9,8.9,36.34,,-2.74,34.29,5,,0.63,0.63,1.55,,11.25,44.28,1.44,0.2,Grey,,,18.03,15.36,15.07,12.69,10.82,1.23,1.43,5.55,0.72,,17.27,22.56,15,7.4,31.5,7.93,,,5.39,WACC vs ROIC,7.85,2.03,25.26,25.26,1.65,1.36,6/9,1.29,0.76,,14.42,10.48,0.93,,,13.23,15.82,1.39,0.97,98.38,1.55,5.72,101.55,9.73,8.51,,8,Beneish M-Score,6.55,41.81,ROIC,,10
41,ADX,8.28,47.67,-3.5,-1,64.6,,,,,41.14,69.83,16.78,45.15,,,,,,,,,,,,0.34,6.21,,,,,,,5.31,,,1.16,,3.8,,,,,,,96.77,,,0.86,5.5,5.5,1.45,5.35,,,,,,0.46,,,,,,,,0.86,,16.91,,,17.13,,,,6.37,,,,4
42,AEE,-13.62,52.95,-2.1,7,7.1,6.9,7.3,-57.5,8.6,67.54,4.04,-7.6,58.82,0.92,,,,0.62,50.54,65.17,25.82,4.85,1.5,Grey,0.57,3.07,20.51,11.29,-31.34,18.21,10.31,4.32,4.56,4.88,0.28,3.12,17.15,-0.45,7.18,4.04,41.63,3.01,,,13.65,WACC vs ROIC,19.02,1.98,18.92,18.92,5.11,2.6,5/9,1.41,,,,1.32,1.03,,,8.46,,,,2.06,0.4,2.94,5.8,5.24,10.75,,3.53,Beneish M-Score,-4.37,21.83,ROIC,,10
43,AEG,15.48,47.11,1.3,-15.8,-12.6,,,-26.6,,61.13,2.73,25.76,50.28,,,,,,,,,,,,,5.55,-5.44,-10.33,4.76,8.43,,0.72,0.6,-18.38,,5.55,6.96,-12.39,-24.2,,,,,,-9.17,,,0.91,,,,0.66,,,,,5.21,,,,,5.05,,,0.51,0.94,,-0.41,,,-11.36,,-0.37,,77.85,14.4,,,7
44,AEHR,158.01,49.53,-7,63.6,,,,,31.7,39.89,,45.34,46.79,38.39,,2.94,7.6,5.46,217.05,58.29,63.06,0.46,0.08,Grey,,,100.97,97.69,156.34,,,,20.79,0.99,0.77,,,,,,50.41,N/A,,N/A,22.41,WACC vs ROIC,20.59,17.63,94.14,94.14,,21.2,4/9,,,,158.48,8.59,10.46,52.3,20.03,137.24,188.28,,25.72,17.63,3.99,19.46,54.37,21.12,23.99,,48.58,Beneish M-Score,-0.06,,ROIC,,4
45,AEIS,33.9,36.69,0.8,17.3,,53,53.8,76.3,33.6,33.07,0.38,19.58,33.55,5.45,,1.5,0.98,3.8,122.57,57.29,54.42,1.67,0.42,Grey,0.08,0.38,18.69,14.39,33.18,,13.16,2.21,2.18,5.35,0.58,0.38,18.69,20.13,,3.14,36.33,N/A,,N/A,9.52,WACC vs ROIC,11.66,3.5,22.39,21.97,2.09,2.13,8/9,0.88,2.64,,32.49,2.4,0.74,,11.98,20.91,29.19,1.25,1.53,5.9,2.51,8.98,34.63,13.64,16.92,,14.96,Beneish M-Score,0.93,37.89,ROIC,,9
46,AEL,43.32,61.38,2.4,-9.3,6.3,14.8,68.7,-15.7,21.4,56.75,0.93,61.47,59.77,,,,,,,,,,,,2.12,0.67,0.09,0.09,0.02,,,0.04,0.05,1111.11,,,8.57,63.8,,-13.36,,,,,25.67,,,1.64,8.97,8.97,1.91,2.37,,,,,0.9,0.81,2.56,,,0.9,1.18,1.45,0.17,1.64,,0.67,,,15.99,,1.27,,-6.56,9.81,,,10
47,AEM,14.12,56.15,-24,19.8,44.3,-2.6,-7.4,,8.8,72.66,15.67,-2.68,62.53,2.23,,0.44,0.21,2.1,110.83,57.23,0.52,0.49,0.11,Grey,0.32,3.26,8.49,6.02,37.54,18.45,8.39,3.81,4.19,11.78,0.68,3.26,19.96,21.38,,-3.7,34.87,20.8,,,40.49,WACC vs ROIC,26.42,1.24,9.55,9.55,0.51,3.84,4/9,,,,34.58,0.82,0.91,,,9.98,8.75,0.38,1.36,1.61,0.85,9.6,15.13,12.29,14.01,,5.55,Beneish M-Score,1.83,41.59,ROIC,,8
48,AEO,48.19,46.09,-5.3,3.1,-13.2,-12,-17,-16,-1.2,36.09,0.91,20,40.14,3.8,,0.23,0.14,1.58,76.84,24.73,16.52,2.5,0.77,Grey,0.19,1.3,14.54,8.04,9.49,12.09,7.15,0.82,0.82,6.88,0.49,2.6,13.42,2.07,,3.66,36.93,40.7,,,4.04,WACC vs ROIC,6.43,1.82,14.82,14.82,,0.6,6/9,,,,7.01,1.23,0.74,,,4.62,7.15,,1.02,2.31,0.74,5.79,11.35,10.24,13.13,,7.53,Beneish M-Score,15.86,15.57,ROIC,,9
