,Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year
2292,USLM,104.42,42.84,-0.4,13.5,14,17,19.9,23.1,13.9,30.95,0.59,45.1,38.54,18.95,,10.72,28.55,15.25,41.03,15.98,52.06,0.05,0.02,Grey,0.07,0.39,12.97,10.03,20.01,,,,3.87,7.71,0.89,0.39,,21.09,,,34.09,288.95,,,23.86,WACC vs ROIC,27.86,3.25,18.35,18.35,1.25,4.37,7/9,,,,22.53,1.63,1.45,10.46,6.56,14.13,20.72,0.97,1.84,3.25,13.72,17.11,35.69,22.32,19.5,,26.67,Beneish M-Score,0.22,35.86,ROIC,,10
2293,USM,47.22,58.44,0.4,3.2,,-1.4,-37.6,-22.6,2,34.18,,87.02,48.54,1.19,,0.18,0.05,1.49,45.08,55.07,85.93,4.72,0.9,Grey,,,40.26,8.56,-149.48,74.2,9.67,1.83,1.84,2.48,0.42,,8.06,-5.82,69.78,-0.28,53.03,0.22,,,-0.54,WACC vs ROIC,1.03,0.77,,,,0.86,4/9,,,,,,1.08,,,5.44,,,3.24,,1.28,-0.2,4.67,1.87,-0.48,,4.02,Beneish M-Score,-14.4,31.14,ROIC,,9
2294,USNA,8.08,38.87,3.9,11.7,,-3.9,-6.6,0.1,3.6,42.44,,8.65,38.71,8.92,,2.64,No Debt,3.41,136.25,20.29,,,,Grey,,,8.73,7.23,11.22,,,0.89,0.93,11.45,0.78,,16.08,7.34,12,-6.35,80.5,698.74,,,6.69,WACC vs ROIC,10.17,2.45,18.13,18.13,5.85,1.22,5/9,1.32,1.05,,14.47,1.48,0.75,6.9,4.52,12.47,17.51,,0.78,2.72,2.86,10.86,104.97,22.34,14.59,,18.31,Beneish M-Score,0.14,12.26,ROIC,,10
2295,USPH,36.65,29,-0.6,8.9,12.9,-3.5,-2.8,-1.9,4.1,32.44,3.06,11.95,28.97,3.8,,1.87,0.62,2.82,,4.58,33.08,3.32,0.54,Grey,0.88,1.81,23.99,19.39,24.83,,17.71,2.36,2.62,4.17,0.49,1.83,32.15,8.01,,7.32,20.26,7.23,,,4.11,WACC vs ROIC,11.76,2.88,48.59,48.59,15.67,2.13,5/9,4.08,1.56,,20.25,,0.92,,,17.85,49.61,,1.26,,2.82,2.76,45.01,8.16,6.83,,7.03,Beneish M-Score,-2.34,41.13,ROIC,,10
2296,UTF,-14.18,35.56,-0.8,-4.2,-2.4,,,-4.3,,43.01,8.64,-3.11,36.83,,,,,,,,,,,,,8.85,,,19.13,,,,-96.23,,,8.85,,8.57,,,,,,,112.49,,,0.9,,,,,,,,,13.06,,,,,13.06,,,,0.9,,-1.05,,,-1.48,,,,7.29,,,,3
2297,UTG,-14.08,57.39,-13.9,-8.8,2.9,,,,,82.88,9.24,-1.17,67.18,,,,,,,,,,,,,8.49,,,-27.98,,,,-21.95,,,8.49,,-12.1,,,,,,,105.15,,,0.93,,,,,,,,,,,,,,,,,3.27,0.93,,-4.59,,,-5.66,,,,-2.23,9.29,,,7
2298,UTHR,6.84,37.1,-1.6,18,,,,,6.5,29.45,,8.38,33.35,7.43,,7.23,3.35,8.68,167.96,7.05,35.71,0.66,0.15,Grey,,,7.21,6.91,12.5,6.96,6.57,3.42,3.99,13.87,0.81,,10.34,24.31,5.94,11.94,89.94,21.71,,,41.29,WACC vs ROIC,51.53,1.91,12.46,12.46,,5.15,6/9,,,,16.11,1.03,1.19,7.33,5.32,12.5,16,,1.29,1.93,8.4,14.34,118.77,20.35,18,,26.54,Beneish M-Score,,18.35,ROIC,,9
2299,UTZ,-1.95,40.49,-13.1,,,-0.9,74.1,,8.5,47.21,1.57,-7.74,42.46,0.96,,0.35,0.07,1.82,42.68,40.57,36.26,10.51,1.53,Grey,14.89,1.59,124.46,21.65,175.81,14.86,10.75,1.41,1.51,0.8,0.24,1.59,23.87,,,,31.82,0.48,,,0.05,WACC vs ROIC,1.74,1.69,1433,1433,,0.83,7/9,,,,96.16,,,,,16.95,,,,,1.24,0.03,3.77,0.67,0.11,,0.21,Beneish M-Score,-6.8,,ROIC,,1
2300,UUUU,-6.98,78.32,-16.1,7.7,,9.7,0.7,10,10.1,91.09,,19.01,84.13,45.9,,17.9,74.22,25.13,840.93,57.48,23.36,-0.04,,Grey,,,-29.8,-32.19,-18.13,,,15.84,39.36,-3.36,0.94,,,,,,52.24,N/A,,N/A,282.6,WACC vs ROIC,-130.76,3.81,16.06,16.06,3.49,44.22,4/9,,,,,1.64,7.45,17.18,11.38,,19.2,,,3.84,19.21,26.71,-25.94,-12.67,28.89,,-17.88,Beneish M-Score,-0.07,,ROIC,,1
2301,UVV,-3.58,51.58,-0.2,3.7,20,13.4,20.2,-39.2,10.6,68.62,10.76,-8.13,57.23,2.71,,0.11,0.08,2.86,196.3,26.3,63.01,4.12,0.73,Grey,0.86,6.64,11.22,8.57,39.19,,,,0.79,8.91,0.48,6.7,,5.16,,,17.5,3.08,,,4.33,WACC vs ROIC,6.73,0.85,10.34,10.34,2.95,0.45,6/9,,,,22.4,0.7,0.7,,2.15,10.75,23.84,,0.92,1.08,1.05,4.15,9.35,8.85,8.48,,6.78,Beneish M-Score,-8.13,11.56,ROIC,,10
