AveragePriceTarget,SmartScore,Ticker,Price,Market Capitalization,Sector,Industry,AveragePriceTarget_percent
31.2,3,ZWS,29.815,5152346388.86796,Producer Manufacturing,Industrial Machinery,4.645312762032527
12.63,7,ZUO,9.2,1316658011.035987,Technology Services,Packaged Software,37.28260869565219
220.0,7,ZTS,193.79,88971641329.64262,Health Technology,Pharmaceuticals: Major,13.524949687806394
33.83,7,ZTO,19.93,16020066918.016,Transportation,Air Freight/Couriers,69.74410436527846
225.53,7,ZS,220.52,32710489369.609005,Technology Services,Data Processing Services,2.271902775258476
32.89,8,ZNTL,14.67,1038133859.2363636,Health Technology,Biotechnology,124.19904567143831
77.29,4,ZM,72.368,22030645441.20456,Technology Services,Packaged Software,6.8013486623922335
69.14,9,ZLAB,25.97,2619217382.7840004,Health Technology,Biotechnology,166.23026569118215
