,GF Value,Ticker,Price,Market Capitalization,Sector,Industry,GFValuediff
69,74.25,WRB,70.135,18085856064.884537,Finance,Property/Casualty Insurance,5.867256006273608
70,63.9,WPP,48.28,10211204494.107998,Commercial Services,Advertising/Marketing Services,32.35294117647058
71,36.82,WPM,50.45,22853656326.905304,Non-Energy Minerals,Precious Metals,-27.016848364717546
72,85.37,WPC,65.52,14222418950.0,Finance,Real Estate Investment Trusts,30.29609279609281
73,39.59,WOR,58.26,2910986780.9617767,Non-Energy Minerals,Steel,-32.04600068657741
74,123.44,WOLF,44.97,5635879314.147058,Electronic Technology,Semiconductors,174.49410718256615
75,100.32,WNS,64.465,3030256042.0,Commercial Services,Miscellaneous Commercial Services,55.61932831769175
76,27.39,WNC,26.02,1199191663.315607,Producer Manufacturing,Trucks/Construction/Farm Machinery,5.265180630284401
77,163.75,WMT,155.7,419180786413.0871,Retail Trade,Specialty Stores,5.170199100834947
78,116.57,WMS,140.335,10933196435.707497,Producer Manufacturing,Miscellaneous Manufacturing,-16.934478212847836
79,72.09,WMK,65.11,1751357629.7236824,Retail Trade,Food Retail,10.720319459376446
80,36.31,WMG,35.3,18214637625.9932,Commercial Services,Commercial Printing/Forms,2.8611898016997315
81,32.29,WMB,35.11,42711269345.95597,Industrial Services,Oil & Gas Pipelines,-8.031899743662775
82,176.96,WM,177.3,71412086593.58917,Industrial Services,Environmental Services,-0.19176536943034597
83,47.89,WLYB,33.78,1857182681.1958208,Consumer Services,Publishing: Books/Magazines,41.77027827116637
84,47.66,WLY,34.15,1873051864.5637283,Consumer Services,Publishing: Books/Magazines,39.56076134699853
85,118.09,WLK,141.25,18099883071.29794,Process Industries,Chemicals: Specialty,-16.396460176991148
86,39.35,WKC,23.2,1396682568.530559,Distribution Services,Wholesale Distributors,69.61206896551725
87,118.54,WK,103.985,5620185137.233356,Technology Services,Information Technology Services,13.997211136221576
88,102.68,WIX,123.22,7043389721.344761,Technology Services,Information Technology Services,-16.6693718552183
89,6.68,WIT,5.49,27182455762.82976,Technology Services,Information Technology Services,21.675774134790515
90,162.89,WIRE,216.2,3410837596.3152075,Producer Manufacturing,Electrical Products,-24.6577243293247
91,231.56,WING,254.68,7491391674.413279,Consumer Services,Restaurants,-9.078058740380087
92,268.78,WINA,419.915,1464451069.0,Retail Trade,Apparel/Footwear Retail,-35.99180786587763
93,172.26,WHR,118.85,6519280284.296518,Consumer Durables,Electronics/Appliances,44.938998737904924
94,73.21,WHD,46.19,3635890607.287536,Industrial Services,Oilfield Services/Equipment,58.49751028361116
95,76.17,WH,80.03,6639441269.577643,Consumer Services,Hotels/Resorts/Cruise lines,-4.823191303261276
96,50.92,WGO,72.16,2109806062.222222,Consumer Durables,Recreational Products,-29.434589800443455
97,41.26,WFRD,99.195,7153803910.448101,Industrial Services,Oilfield Services/Equipment,-58.40516155048137
98,67.8,WFG,84.61,6974536331.399202,Non-Energy Minerals,Forest Products,-19.867627939959817
99,0.0,WFC/PZ,20.21,179584583386.0,Finance,Major Banks,-100.0
100,0.0,WFC/PY,24.22,179584583386.0,Finance,Major Banks,-100.0
101,0.0,WFC/PR,25.07,179584583386.0,Finance,Major Banks,-100.0
102,0.0,WFC/PL,1193.69,179584583386.0,Finance,Major Banks,-100.0
103,0.0,WFC/PD,18.13,179584583386.0,Finance,Major Banks,-100.0
104,0.0,WFC/PC,18.94,179584583386.0,Finance,Major Banks,-100.0
105,0.0,WFC/PA,20.25,179584583386.0,Finance,Major Banks,-100.0
106,50.98,WFC,49.77,180746708091.4301,Finance,Major Banks,2.431183443841659
107,27.83,WF,30.32,7486130099.20178,Finance,Major Banks,-8.212401055408977
108,221.99,WEX,194.03,8292326098.990316,Commercial Services,Miscellaneous Commercial Services,14.41014276142865
109,28.23,WES,27.87,10577122022.723827,Industrial Services,Oil & Gas Pipelines,1.2917115177610312
110,50.4,WERN,42.815,2714254619.576923,Transportation,Trucking,17.715753824594188
111,25.52,WEN,19.75,4073623345.197669,Consumer Services,Restaurants,29.21518987341772
112,80.14,WELL,90.44,49784545314.0,Finance,Real Estate Investment Trusts,-11.38876603272888
113,104.71,WEC,83.02,26187375008.748272,Utilities,Electric Utilities,26.12623464225488
114,26.93,WDS,21.1675,39838191825.45492,Energy Minerals,Oil & Gas Production,27.223337663871494
115,227.9,WDFC,239.4,3245470014.342576,Process Industries,Industrial Specialties,-4.803675856307435
116,33.57,WDC,52.39,16987099711.706758,Electronic Technology,Computer Peripherals,-35.922886046955526
117,252.29,WDAY,275.71,72511728378.47362,Technology Services,Information Technology Services,-8.494432555946462
118,87.03,WD,107.435,3593720555.8038063,Finance,Finance/Rental/Leasing,-18.99287941546051
119,212.55,WCN,147.77,38071957815.53165,Transportation,Trucking,43.838397509643364
